,StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio,target
0,2,South Lake B,04/12/06,1055.0,U,2,39.2,16.2,13,0.61,18.69886000911993,1.41,0.5,0.0,0.0
1,2,South Lake B,05/02/06,1050.0,U,2.2,36.8,14.8,17.5,0.45,13.7,9.67,1.1,0.0,0.0
2,2,South Lake B,05/25/06,1100.0,U,2,50.1,27.4,12.1,0.55,14.5,2.04,0.7,0.0,0.0
3,2,South Lake B,06/08/06,1250.0,U,2,62.6,33.6,11.9,0.6,18.69886000911993,2.54,0.8,23643898.434661075,0.0
4,2,South Lake B,06/08/06,1105.0,U,2,59.6,32.6,12,0.65,17.7,4.13,0.6,0.0,0.0
5,2,South Lake B,06/30/06,1050.0,U,1.2,77.3,47.9,10.5,0.62,22.5,1.74,0.6,0.0,0.0
6,2,South Lake B,07/13/06,1300.0,U,2.8,59.8,27,12.2,0.49,18.69886000911993,3.91,1.4,23643898.434661075,0.0
7,2,South Lake B,07/24/06,1110.0,U,2,107,49.9,10.6,0.87,21.4,2.17,0.2,741000.0,0.0
8,2,South Lake B,07/31/06,1232.0,U,2,56.8,32.9,13.7,0.61,18.69886000911993,2.77,0.7,23643898.434661075,0.0
9,2,South Lake B,08/03/06,1100.0,U,2,60.5,29,12.7,0.65,25.2,11.3,1,1110000.0,0.0
10,2,South Lake B,08/11/06,1120.0,U,2,43.7,14.4,14.1,0.38,24.2,14,0.8,0.0,0.0
11,2,South Lake B,08/16/06,1215.0,U,2.6,41.2,10.5,14.8,0.34,18.69886000911993,10.7,1.3,23643898.434661075,0.0
12,2,South Lake B,08/29/06,1205.0,U,COM,39.9,13.5,20.8,0.4,18.69886000911993,,1.1,23643898.434661075,0.0
13,2,South Lake B,08/31/06,1115.0,U,2,48.3,20,22.3,0.41,20.7,8.58,0.6,2500000.0,0.0
14,2,South Lake B,09/15/06,1130.0,U,2,37.4,11.8,21.5,0.36,18.69886000911993,7.37,1,23643898.434661075,0.0
15,2,South Lake B,09/18/06,1055.0,U,2,42.1,16,22.1,0.51,19.4,10.9,1,0.0,0.0
16,2,South Lake B,09/27/06,1120.0,U,2,43.8,17.8,24.3,0.46,17.5,6.08,0.6,0.0,0.0
17,2,South Lake B,09/29/06,1045.0,U,2,44.5,10.9,23.4,0.41,18.69886000911993,10.9,1,23643898.434661075,0.0
18,2,South Lake B,10/16/06,1120.0,U,2,38.1,20,22.6,0.5,11.7,3.82,0.7,0.0,0.0
19,2,South Lake B,05/01/07,1100.0,U,2,30.8,12.3,11.3,0.62,12.5,8.52,0.9,0.0,0.0
20,2,South Lake B,05/14/07,1125.0,U,2,44.8,11.9,14.9,0.46,17.2,16.5,1,0.0,0.0
21,2,South Lake B,05/25/07,1100.0,U,2.5,30.4,8.2,14.8,0.5,18.69886000911993,11.4,1.3,23643898.434661075,0.0
22,2,South Lake B,05/25/07,1050.0,U,2,31.4,10,15.3,0.44,19.6,15.7,1.2,0.0,0.0
23,2,South Lake B,06/07/07,1330.0,U,2,54.6,26.8,18,0.75,18.69886000911993,3.38,0.9,23643898.434661075,0.0
24,2,South Lake B,06/12/07,1115.0,U,2,51.3,17,19.6,0.51,22.8,34.1,0.9,0.0,0.0
25,2,South Lake B,06/18/07,1100.0,U,1.7,47.8,12.4,17.6,0.54,18.69886000911993,4.22,0.9,23643898.434661075,0.0
26,2,South Lake B,06/27/07,1120.0,U,2,48.9,21.2,18.6,0.46,24.9,10.4,1,0.0,0.0
27,2,South Lake B,07/03/07,1300.0,U,2.4,42.7,20.6,18.1,0.46,18.69886000911993,2.37,1.2,23643898.434661075,0.0
28,2,South Lake B,07/16/07,1330.0,U,COM,49.5,16.3,19.7,0.38,18.69886000911993,,1.5,23643898.434661075,0.0
29,2,South Lake B,07/17/07,1130.0,U,3,36.8,19.5,19.9,0.35,24.1,5.69,1.2,0.0,0.0
30,2,South Lake B,07/31/07,1200.0,U,3,49.6,15.4,19.8,0.44,18.69886000911993,3.58,1.5,23643898.434661075,0.0
31,2,South Lake B,08/07/07,1115.0,U,3,53.1,28.2,19.4,0.41,25.5,6.88,1.3,0.0,0.0
32,2,South Lake B,08/14/07,1300.0,U,2,47.2,13.9,20.1,0.31,18.69886000911993,14.7,1,23643898.434661075,0.0
33,2,South Lake B,08/23/07,1115.0,U,2.5,34.2,20.6,23,0.38,21.6,9.06,1.3,0.0,0.0
34,2,South Lake B,08/30/07,1300.0,U,1.6,52.4,17.4,21.6,0.28,18.69886000911993,11.4,0.8,23643898.434661075,0.0
35,2,South Lake B,09/13/07,1300.0,U,1.7,43.6,19.4,22.9,0.37,18.69886000911993,4.27,0.9,23643898.434661075,0.0
36,2,South Lake B,09/19/07,1105.0,U,2,44,15.3,23.2,0.32,18.7,9.64,1,0.0,0.0
37,2,South Lake B,09/24/07,1315.0,U,2.2,33.2,11,23.4,0.3,18.69886000911993,9.05,1.1,23643898.434661075,0.0
38,2,South Lake B,10/01/07,1120.0,U,2,47.2,15.9,26,0.38,19.9,10.2,0.9,0.0,0.0
39,2,South Lake B,10/18/07,1100.0,U,3,38.4,21.1,26.7,0.45,14.2,2.72,1.2,0.0,0.0
40,2,South Lake B,05/08/08,1100.0,U,2.5,41.7,18.9,16.6,0.44,13.8,14.7,1.2,0.0,0.0
41,2,South Lake B,05/20/08,1120.0,U,2,40.7,14.5,16.8,0.31,15.8,10.6,1,0.0,0.0
42,2,South Lake B,06/02/08,1125.0,U,3,30.3,13.2,19.4,0.32,19.0,8.45,1.5,0.0,0.0
43,2,South Lake B,06/13/08,1300.0,U,3,40.2,10.1,20.3,0.3,18.69886000911993,3.69,1.5,23643898.434661075,0.0
44,2,South Lake B,06/17/08,1100.0,U,2,54.3,21.5,22.5,0.65,24.2,8.06,0.6,0.0,0.0
45,2,South Lake B,06/26/08,1100.0,U,2.2,46.2,15.1,8.7,0.26,22.3,9.58,1.1,23643898.434661075,0.0
46,2,South Lake B,07/01/08,1130.0,U,2,80.7,39.3,13.2,0.71,22.5,2,0.3,0.0,0.0
47,2,South Lake B,07/11/08,1200.0,U,2,53.1,14.1,15.9,0.6,24.2,8.03,1,23643898.434661075,0.0
48,2,South Lake B,07/14/08,1110.0,U,2.5,52.2,24.7,16.1,0.5,23.1,3.85,1.2,149000.0,0.0
49,2,South Lake B,07/22/08,1330.0,U,3.5,48.5,23.9,16.7,0.47,25.1,8.44,1.8,23643898.434661075,0.0
50,2,South Lake B,07/28/08,1130.0,U,2,69.4,49.2,13,0.62,23.1,2.28,0.7,1810000.0,0.0
51,2,South Lake B,08/05/08,1400.0,U,2,53.3,22.9,16.5,0.44,24.1,11.1,1,23643898.434661075,0.0
52,2,South Lake B,08/13/08,1300.0,U,2,71.7,32.3,11.2,0.46,20.7,2.1,0.5,23643898.434661075,0.0
53,2,South Lake B,08/13/08,1120.0,U,2,72.4,35.1,12.4,0.51,20.6,2.41,0.5,4650000.0,0.0
54,2,South Lake B,08/25/08,1105.0,U,2,49,22.2,14.7,0.47,22.4,9.99,1.1,53000000.0,0.0
55,2,South Lake B,09/04/08,1115.0,U,2.5,35.8,12.4,15.1,0.3,23.0,2.93,1.3,23643898.434661075,0.0
56,2,South Lake B,09/05/08,1115.0,U,3,35.4,16.8,15.5,0.38,23.2,4.43,1.4,90500000.0,0.0
57,2,South Lake B,09/23/08,1110.0,U,2,44.3,16.7,19,0.45,17.1,10.3,0.8,23100000.0,0.0
58,2,South Lake B,09/25/08,1230.0,U,2.2,38.4,9.8,19.8,0.38,18.1,9.57,1.1,23643898.434661075,0.0
59,2,South Lake B,10/06/08,1230.0,U,1.3,49.6,14.8,21.5,0.4,15.4,5.89,0.7,23643898.434661075,0.0
60,2,South Lake B,10/08/08,1120.0,U,2,41.7,14,21.8,0.4,14.4,7.02,0.8,2120000.0,0.0
61,2,South Lake B,11/04/08,1120.0,U,2,56.5,30.9,14.2,0.63,6.3,1.73,0.4,573000.0,0.0
62,2,South Lake B,04/17/09,1110.0,U,2,33.5,12.6,13.7,0.38,9.2,4.95,0.8,0.0,0.0
63,2,South Lake B,05/06/09,1125.0,U,2.2,41.4,12.9,16.9,0.39,15.6,9.3,1.1,0.0,0.0
64,2,South Lake B,05/21/09,1120.0,U,2,39.3,13.9,19.5,0.39,18.4,9.45,1,0.0,0.0
65,2,South Lake B,06/05/09,1110.0,U,2.2,40.4,18.5,18.9,0.42,18.7,7.02,1.1,0.0,0.0
66,2,South Lake B,06/22/09,1140.0,U,2,57.4,25.5,18.7,0.64,20.5,7.41,0.9,0.0,0.0
67,2,South Lake B,07/08/09,1115.0,U,2,54.1,31.3,16.6,0.4,18.69886000911993,5.07,0.9,328000.0,0.0
68,2,South Lake B,07/20/09,1330.0,U,1.8,50.3,18.7,15.2,0.28,22.8,6.86,0.9,23643898.434661075,0.0
69,2,South Lake B,07/22/09,1130.0,U,2,51.9,18.8,15.3,0.42,18.69886000911993,13.9,1,14200000.0,0.0
70,2,South Lake B,07/29/09,1100.0,U,2,64.3,26.8,16.1,0.59,24.6,6.97,1,23643898.434661075,0.0
71,2,South Lake B,08/07/09,1125.0,U,2,64.9,37.4,10.4,0.46,22.5,3.26,0.6,280000.0,0.0
72,2,South Lake B,08/13/09,1000.0,U,2,40.2,14.5,11.9,0.38,23.7,24.5,1,23643898.434661075,0.0
73,2,South Lake B,08/19/09,1000.0,U,2,61.5,24.3,13.1,0.46,25.2,6.57,1,23643898.434661075,0.0
74,2,South Lake B,08/19/09,1130.0,U,2,54.8,25.7,13.1,0.44,25.3,8.95,1,6940000.0,0.0
75,2,South Lake B,09/02/09,1120.0,U,2,51.1,25.1,18.8,0.49,20.5,5.61,0.7,2050000.0,0.0
76,2,South Lake B,09/03/09,1300.0,U,2,46.5,16.8,19.2,0.44,20.7,10.7,1,23643898.434661075,0.0
77,2,South Lake B,09/22/09,1125.0,U,2,40.9,19.7,19.5,0.33,18.4,7.77,0.9,2220000.0,0.0
78,2,South Lake B,09/24/09,1330.0,U,1.6,50,15.5,17.8,,19.2,12.9,0.8,23643898.434661075,0.0
79,2,South Lake B,10/14/09,1120.0,U,2,51.6,29.1,27.1,0.59,11.5,4.1,0.8,722000.0,0.0
80,2,South Lake B,04/07/10,1120.0,U,2,38.9,15.7,11.5,0.51,12.4,H2.84,0.6,0.0,0.0
81,2,South Lake B,05/03/10,1135.0,U,2.6,29.4,13.2,13.6,0.36,15.4,H7.95,1.3,0.0,0.0
82,2,South Lake B,05/13/10,1120.0,U,2,37.4,16.4,14.1,0.36,13.5,H5.47,0.9,0.0,0.0
83,2,South Lake B,05/25/10,1240.0,U,1,45.2,26.9,13.5,1.07,22.2,,1.5,23643898.434661075,0.0
84,2,South Lake B,05/26/10,1125.0,U,3,36.8,14.7,14.9,0.43,22.9,H8.02,1.5,0.0,0.0
85,2,South Lake B,06/11/10,1130.0,U,2,46.8,13.3,18.4,0.42,20.5,4.04,1,23643898.434661075,0.0
86,2,South Lake B,06/15/10,1050.0,U,2,47.7,22.9,18.2,0.44,19.5,H5.52,0.9,0.0,0.0
87,2,South Lake B,06/25/10,1045.0,U,3,48.3,15.4,17.5,0.35,23.9,5.02,1.5,23643898.434661075,0.0
88,2,South Lake B,07/07/10,1135.0,U,3.8,37.6,19,18.8,0.33,27.9,6.6,1.9,0.0,0.0
89,2,South Lake B,07/14/10,1045.0,U,3,43.1,H19.3,17.9,0.32,26.1,5.41,1.5,23643898.434661075,0.0
90,2,South Lake B,07/22/10,1105.0,U,2,66.4,30.4,18.4,0.4,25.8,12.3,0.9,0.0,0.0
91,2,South Lake B,07/26/10,1100.0,E,COM,61.4,19.8,18.7,0.39,18.69886000911993,,1,23643898.434661075,0.0
92,2,South Lake B,08/09/10,1130.0,U,2,64,30.1,18.3,0.45,25.6,10.9,0.8,3700000.0,0.0
93,2,South Lake B,08/12/10,1300.0,U,2,68.5,15.5,18.2,0.36,18.69886000911993,13.8,1,23643898.434661075,0.0
94,2,South Lake B,08/23/10,1110.0,U,1.6,53.1,25.9,21.1,0.23,22.2,6.59,0.8,0.0,0.0
95,2,South Lake B,08/26/10,1210.0,U,2,53.5,16.2,23.1,0.33,22.7,14.5,1,23643898.434661075,0.0
96,2,South Lake B,09/02/10,1115.0,U,2,94.7,49.9,18.9,0.41,25.6,22.7,0.6,302000.0,0.0
97,2,South Lake B,09/08/10,1125.0,U,2,65.3,50.3,22.4,0.45,22.2,4.97,0.5,23643898.434661075,0.0
98,2,South Lake B,09/23/10,1120.0,U,2,44.9,13.5,26.8,0.27,17.5,10.2,0.6,7730000.0,0.0
99,2,South Lake B,10/14/10,1220.0,U,2,57.1,29,16,0.57,13.4,3.8,1,23643898.434661075,0.0
100,2,South Lake B,05/10/11,1105.0,U,2,48.2,21.4,13.4,0.43,13.1,7.18,0.6,0.0,0.0
101,2,South Lake B,06/07/11,1055.0,U,3.8,37.7,16.9,12.1,0.37,22.9,7.68,1.9,0.0,0.0
102,2,South Lake B,06/13/11,1218.0,U,2,42.9,15.6,13.7,0.45,22.3,6.93,1,23643898.434661075,0.0
103,2,South Lake B,06/21/11,1328.0,U,4,48.9,12.2,14.9,0.45,24.1,4.37,2.5,23643898.434661075,0.0
104,2,South Lake B,06/21/11,1115.0,U,2.4,49.3,44.9,14.7,0.5,23.5,11,1.2,0.0,0.0
105,2,South Lake B,07/05/11,1130.0,U,2,45.5,23,17.1,0.48,24.4,13.8,1,11800000.0,0.0
106,2,South Lake B,07/15/11,1145.0,U,2,63.7,19,16.4,0.46,18.69886000911993,20.4,1,23643898.434661075,0.0
107,2,South Lake B,07/19/11,1110.0,U,2,54.9,35.1,16.7,0.38,26.1,11,1,18100000.0,0.0
108,2,South Lake B,07/28/11,1412.0,U,2,67.4,29.4,17.1,0.48,26.9,8.66,1,23643898.434661075,0.0
109,2,South Lake B,08/11/11,1125.0,U,2,66.8,25.8,20.3,H0.42,26.1,J16.1,0.6,20900000.0,0.0
110,2,South Lake B,08/12/11,1330.0,U,2,83.3,19.6,20.4,0.52,26.0,J29.1,1,23643898.434661075,0.0
111,2,South Lake B,08/19/11,1150.0,U,1,H73.2,H31.1,H20.9,H0.53,25.0,,1,23643898.434661075,0.0
112,2,South Lake B,08/22/11,1120.0,U,2,72.7,24.8,17.3,H1.72,23.8,,0.5,87600000.0,0.0
113,2,South Lake B,09/14/11,1135.0,U,2,50.7,26.5,H9.6,0.44,21.0,H8.8,0.7,0.0,0.0
114,2,South Lake B,09/27/11,1100.0,U,2,H29.7,H10.8,H14.4,0.35,20.2,H16.8,0.9,3090000.0,0.0
115,2,South Lake B,09/28/11,1215.0,U,2,H38.4,H13.5,H14.9,H0.46,18.69886000911993,H36.5,1,23643898.434661075,0.0
116,2,South Lake B,10/19/11,1055.0,U,2,47.7,25.9,H15.6,0.56,13.1,H2.09,0.8,416000.0,0.0
117,2,South Lake B,10/24/11,1138.0,U,2,44,18.8,H13.1,H0.45,12.2,H1.98,1,23643898.434661075,0.0
118,2,South Lake B,11/09/11,1130.0,U,2.2,26.1,13.1,13.2,0.36,7.2,H1.16,1.1,0.0,0.0
119,2,South Lake B,03/21/12,1115.0,U,2,31.4,13.8,14.9,0.57,11.9,H3.33,0.7,0.0,0.0
120,2,South Lake B,04/30/12,1105.0,U,2,42.8,16.6,12.2,0.53,10.8,H2.61,0.6,0.0,0.0
121,2,South Lake B,05/21/12,1120.0,U,2,42,23.5,10.3,0.55,19.6,H8.67,0.6,0.0,0.0
122,2,South Lake B,05/31/12,1253.0,U,2,45.2,19.1,12.5,0.48,23.6,4.11,0.9,23643898.434661075,0.0
123,2,South Lake B,06/11/12,1200.0,U,2,42.9,J7.3,13.8,0.42,21.1,9.55,1,23643898.434661075,0.0
124,2,South Lake B,06/15/12,1105.0,U,2,48.1,J14.8,13.4,0.36,22.1,11.55,0.8,0.0,0.0
125,2,South Lake B,06/28/12,1400.0,U,1.6,49.4,20.7,15,0.41,24.9,4.88,0.8,23643898.434661075,0.0
126,2,South Lake B,07/05/12,1110.0,U,2,52.4,21.3,15.3,0.41,25.4,9.52,0.6,13500000.0,0.0
127,2,South Lake B,07/09/12,1154.0,U,1.4,65.1,21.5,16.4,0.39,25.7,9.99,0.7,23643898.434661075,0.0
128,2,South Lake B,07/24/12,1250.0,U,2,79.1,23.2,16.8,0.46,26.7,H15.3,0.5,23643898.434661075,0.0
129,2,South Lake B,07/26/12,1115.0,U,2,,,,,18.69886000911993,,,1680000.0,0.0
130,2,South Lake B,07/27/12,1115.0,U,2,60.2,27,17.9,0.39,25.2,H5.29,0.7,23643898.434661075,0.0
131,2,South Lake B,08/07/12,1105.0,U,2,67.4,33.3,21.2,H0.43,26.4,H8.59,0.6,6130000.0,0.0
132,2,South Lake B,08/14/12,1150.0,U,2,H48.9,19,21.8,H0.35,26.5,H7.41,0.8,23643898.434661075,0.0
133,2,South Lake B,08/27/12,1055.0,U,2,H71,H29.2,22.1,H0.38,18.69886000911993,H13.56,0.6,1250000.0,0.0
134,2,South Lake B,08/30/12,1145.0,U,2,82.2,30.6,22,H0.41,23.8,H6.92,0.5,23643898.434661075,0.0
135,2,South Lake B,09/12/12,1400.0,U,2,61.7,22,H22.2,H0.38,21.8,H5.61,0.5,23643898.434661075,0.0
136,2,South Lake B,09/17/12,1105.0,U,2,70.4,22.8,H22.9,0.41,18.69886000911993,H8.9,0.3,1390000.0,0.0
137,2,South Lake B,10/05/12,1140.0,U,2,42.4,11.7,21.4,0.43,16.2,H11.1,0.5,23643898.434661075,0.0
138,2,South Lake B,10/09/12,1120.0,U,2,44.2,15.5,20.2,0.5,14.7,H10.59,0.5,134000.0,0.0
139,2,South Lake B,10/15/12,1145.0,U,2,42.9,10.7,22.5,0.4,12.9,H6.7,0.6,23643898.434661075,0.0
140,2,South Lake B,10/26/12,1110.0,U,2,58.8,H33.5,12.9,H0.6,12.0,2.56,0.6,0.0,0.0
141,2,South Lake B,04/23/13,1105.0,U,2,,,,,18.69886000911993,,,0.0,0.0
142,2,South Lake B,04/24/13,1105.0,U,2,46.9,14.9,13.5,0.5,10.6,H2.91,0.3,23643898.434661075,0.0
143,2,South Lake B,05/08/13,1115.0,U,2.4,25.3,11.8,16.2,H0.36,19.6,9.63,1.2,0.0,0.0
144,2,South Lake B,06/03/13,1353.0,U,2.5,41.9,13.8,14,0.53,18.69886000911993,9.42,1.3,23643898.434661075,0.0
145,2,South Lake B,06/04/13,1150.0,U,2,66.3,26,16.8,0.67,21.3,2.18,0.3,173000.0,0.0
146,2,South Lake B,06/19/13,1326.0,U,1.5,42.3,18.9,12,0.5,18.9,9.61,0.8,23643898.434661075,0.0
147,2,South Lake B,07/01/13,1130.0,U,2,53.8,28,12.9,0.51,23.9,9.22,0.8,0.0,0.0
148,2,South Lake B,07/03/13,1153.0,U,2,70.6,31.4,H14.8,H0.57,23.0,3.24,0.3,23643898.434661075,0.0
149,2,South Lake B,07/16/13,1250.0,U,2,59.4,18,11.8,0.4,28.0,24.48,1,23643898.434661075,0.0
150,2,South Lake B,07/16/13,1115.0,U,2,64.2,34.5,11.8,0.5,25.5,32.25,0.9,23643898.434661075,0.0
151,2,South Lake B,07/24/13,1226.0,U,2,49.9,26.1,14.6,0.46,26.2,2.46,0.8,23643898.434661075,0.0
152,2,South Lake B,08/13/13,1200.0,E,2,35.8,21.5,15.7,0.45,23.6,8.32,1,23643898.434661075,0.0
153,2,South Lake B,08/19/13,1100.0,U,2.2,40.1,15.5,17,0.48,22.7,14.82,1.1,7820000.0,0.0
154,2,South Lake B,09/09/13,1241.0,U,2,62.4,22.4,22.6,H0.42,20.8,H9.48,0.3,23643898.434661075,0.0
155,2,South Lake B,09/20/13,1245.0,U,2,40.8,21.4,24.2,H0.41,18.9,H15.01,0.5,23643898.434661075,0.0
156,2,South Lake B,10/04/13,1113.0,U,2,32.2,9.2,21.6,0.3,17.5,16.04,0.5,5460000.0,0.0
157,2,South Lake B,10/21/13,1200.0,U,2,37,8.1,24.1,0.34,14.5,18.45,1,0.0,0.0
158,2,South Lake B,05/06/14,1105.0,U,2,33.9,11.8,18.7,0.46,18.69886000911993,9.24,0.8,75700.0,0.0
159,2,South Lake B,05/28/14,1140.0,U,2,45.1,21.6,16.4,0.47,18.4,7.13,0.9,0.0,0.0
160,2,South Lake B,05/29/14,1540.0,U,2,38.8,16.7,15.6,0.45,19.7,9.76,1,23643898.434661075,0.0
161,2,South Lake B,06/12/14,1456.0,U,1.6,40.6,12.8,16.5,0.43,22.3,6.21,0.8,23643898.434661075,0.0
162,2,South Lake B,06/20/14,1040.0,U,2.4,39.7,19.1,22.8,0.42,22.5,4.47,1.2,435000.0,0.0
163,2,South Lake B,07/08/14,1459.0,H,1,,,,,24.7,,,23643898.434661075,0.0
164,2,South Lake B,07/08/14,1230.0,U,2,83.9,33.8,20.4,0.76,18.69886000911993,7.96,0.8,23643898.434661075,0.0
165,2,South Lake B,07/08/14,1100.0,U,2,81,44.7,22.1,0.82,24.5,7.51,0.5,36400000.0,0.0
