StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
34,Northeast Arm,4/27/06,1100,U,7.6,22.3,9.2,10.3,0.36,5.7,11.7,3.8,0
34,Northeast Arm,5/10/06,1055,U,7.4,23.4,8.8,10,0.3,12,4.82,3.7,140000
34,Northeast Arm,6/2/06,1105,U,9.4,14.5,9.3,10,0.32,16.3,2.46,4.7,516000
34,Northeast Arm,6/6/06,1300,U,13.8,24.6,11,10,0.32,,0.56,6.9,
34,Northeast Arm,6/15/06,1105,E,16,23.6,14.2,10.1,0.36,15.7,1.05,8,169000
34,Northeast Arm,6/15/06,1115,H,COM,18.4,14.5,10.2,0.38,,,,
34,Northeast Arm,6/30/06,1231,E,10.8,16.8,11.2,9.7,0.35,,10.6,5.4,
34,Northeast Arm,6/30/06,1233,H,COM,24.9,21.9,10.3,0.45,,,,
34,Northeast Arm,7/11/06,1323,E,10.2,18.2,7.8,9.5,0.34,,6.43,5.1,
34,Northeast Arm,7/11/06,1343,H,COM,25.3,19.3,9.9,0.39,,,,
34,Northeast Arm,7/11/06,1040,E,11.6,21.5,7.2,9.5,0.44,21.8,6.83,5.8,3.68E+06
34,Northeast Arm,7/11/06,1110,H,COM,26.5,15.5,9.8,0.39,,,,
34,Northeast Arm,7/26/06,1310,E,10.4,14.5,7.5,9.8,0.32,,3.5,5.2,
34,Northeast Arm,7/26/06,1320,H,COM,22.5,17,10.2,0.41,,,,
34,Northeast Arm,8/1/06,1055,E,10,12.5,7.7,9.7,0.32,23.6,3.44,5,1.11E+07
34,Northeast Arm,8/1/06,1120,H,COM,25.6,16.4,9.9,0.43,,,,
34,Northeast Arm,8/8/06,1230,E,11.4,17.1,6.9,9.6,0.36,,3.99,5.7,
34,Northeast Arm,8/8/06,1235,H,COM,22.6,16.4,9.8,0.46,,,,
34,Northeast Arm,8/14/06,1120,E,8,12.2,8.5,9,0.32,22,5.74,4,2.14E+07
34,Northeast Arm,8/14/06,1200,H,COM,29.9,20.1,9.6,0.43,,,,
34,Northeast Arm,8/23/06,1305,E,8.6,13.9,6.8,9.4,0.37,,4.59,4.3,
34,Northeast Arm,8/23/06,1310,H,COM,25.6,23.6,9.9,0.51,,,,
34,Northeast Arm,8/25/06,1025,E,7.6,13.8,6.4,9.3,0.32,21.3,7.68,3.8,2.14E+07
34,Northeast Arm,8/25/06,1100,H,COM,25.9,20.8,9.7,0.47,,,,
34,Northeast Arm,9/5/06,1250,E,6,20.1,7.1,9.7,0.32,,7.01,3,
34,Northeast Arm,9/5/06,1255,H,COM,29.3,23.1,10.1,0.46,,,,
34,Northeast Arm,9/5/06,1030,E,8.2,17.9,9.6,9.6,0.32,19.7,8.57,4.1,1.24E+07
34,Northeast Arm,9/5/06,1100,H,COM,29,24.1,9.8,0.42,,,,
34,Northeast Arm,9/20/06,1030,U,9.2,27.9,16.8,9.9,0.34,18.6,8.34,4.6,5.98E+06
34,Northeast Arm,9/21/06,1110,E,9.2,15.6,6.3,9.7,0.27,,5.24,4.6,
34,Northeast Arm,9/21/06,1110,H,COM,39.2,34.5,10,0.47,,,,
34,Northeast Arm,10/10/06,1035,U,8.4,25.7,17.5,9.8,0.38,15.1,6.41,4.2,3.79E+06
34,Northeast Arm,5/2/07,1000,U,6.5,24.1,10,10.5,0.39,4.5,5.48,3.2,386000
34,Northeast Arm,5/22/07,1025,U,7,24.6,8.4,9.2,0.35,10.3,5.31,3.6,590000
34,Northeast Arm,6/6/07,1210,U,9,19.8,7.9,9.1,0.39,,3.57,4.5,
34,Northeast Arm,6/19/07,1030,E,14,16.8,8.8,8.8,0.36,19.9,1.17,6.7,162000
34,Northeast Arm,6/19/07,1050,H,COM,15.9,10,9.3,0.42,,,,
34,Northeast Arm,6/25/07,1250,E,14,16.9,7.6,8.9,0.39,,1.7,7,
34,Northeast Arm,6/25/07,1255,H,COM,20,13.4,9.1,0.43,,,,
34,Northeast Arm,7/10/07,1225,E,10,18.3,8.3,9,0.32,,4.09,5,
34,Northeast Arm,7/10/07,1230,H,COM,23.2,18,9.5,0.44,,,,
34,Northeast Arm,7/16/07,1130,E,8,17.7,8.1,8.7,0.35,21.2,6.83,3.8,1.30E+07
34,Northeast Arm,7/16/07,1215,H,COM,21.5,16.5,9.1,0.42,,,,
34,Northeast Arm,7/30/07,1145,E,9,14.1,7.6,9,0.31,,4.77,4.5,
34,Northeast Arm,7/30/07,1150,H,COM,29,21.2,9.2,0.51,,,,
34,Northeast Arm,7/30/07,1045,,12,,,,,,4.96,5.8,2.70E+07
34,Northeast Arm,8/9/07,1145,E,9,12.4,5.9,9.1,0.29,,1.34,4.5,
34,Northeast Arm,8/9/07,1146,H,COM,20.3,17.7,8.8,0.46,,,,
34,Northeast Arm,8/22/07,1045,E,8,13,6.2,8.6,0.31,20.8,4.87,3.7,3.70E+07
34,Northeast Arm,8/22/07,1130,H,COM,22.3,19.2,8.7,0.49,,,,
34,Northeast Arm,9/13/07,1220,E,7.1,12.6,5.4,8.9,0.3,,7.24,3.6,
34,Northeast Arm,9/13/07,1225,H,COM,20,17.9,9.2,0.5,,,,
34,Northeast Arm,9/21/07,1040,U,6.5,18.6,11.3,9.1,0.39,18.5,5.74,3.2,3.31E+07
