StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
36,Isle LaMotte (off Grand Isle),4/14/06,1130,U,13.4,16.4,7.8,14.1,0.66,3.4,4.35,6.7,0
36,Isle LaMotte (off Grand Isle),5/8/06,1110,U,11.4,11.7,8,14.3,0.43,8.3,3.73,5.7,0
36,Isle LaMotte (off Grand Isle),5/31/06,1250,U,7,11.3,6.9,13.8,0.42,13.9,4.37,3.5,
36,Isle LaMotte (off Grand Isle),6/6/06,1045,U,12.8,16.9,9.6,14.3,0.46,,0.98,6.4,
36,Isle LaMotte (off Grand Isle),6/13/06,1110,E,12,10.6,8.9,14.6,0.41,12.1,2.88,6,0
36,Isle LaMotte (off Grand Isle),6/13/06,1140,H,COM,8.7,8.6,15,0.44,,,,
36,Isle LaMotte (off Grand Isle),6/30/06,1340,E,10,16.8,10.7,14,0.41,,4.02,5,
36,Isle LaMotte (off Grand Isle),6/30/06,1342,H,COM,11.5,10.1,14.9,0.5,,,,
36,Isle LaMotte (off Grand Isle),7/10/06,1155,E,9,15.3,9.7,13,0.37,21.7,2.99,4.5,1.53E+06
36,Isle LaMotte (off Grand Isle),7/10/06,1215,H,COM,8.6,8.3,14.4,0.47,,,,
36,Isle LaMotte (off Grand Isle),7/11/06,1030,E,9.8,18,,12.9,0.38,,3,4.9,
36,Isle LaMotte (off Grand Isle),7/11/06,1050,H,COM,12.4,9.2,14.4,0.46,,,,
36,Isle LaMotte (off Grand Isle),7/26/06,1050,E,11.4,15.4,6.5,13.9,0.4,,5.76,5.7,
36,Isle LaMotte (off Grand Isle),7/26/06,1100,H,COM,11,7.8,14.6,0.5,,,,
36,Isle LaMotte (off Grand Isle),7/26/06,1135,E,9.4,14.4,7,13.4,0.38,22,4.91,4.7,455000
36,Isle LaMotte (off Grand Isle),7/26/06,1155,H,COM,11.1,7.2,14,0.45,,,,
36,Isle LaMotte (off Grand Isle),8/10/06,1045,E,9,14.8,6.7,13.3,0.38,,3.21,4.5,
36,Isle LaMotte (off Grand Isle),8/10/06,1050,H,COM,13.2,9.3,14.6,0.52,,,,
36,Isle LaMotte (off Grand Isle),8/10/06,1140,E,12,12.2,8,13.2,0.35,22.6,3.84,6,4.75E+06
36,Isle LaMotte (off Grand Isle),8/10/06,1230,H,COM,11.4,8.9,14.3,0.48,,,,
36,Isle LaMotte (off Grand Isle),8/23/06,1055,E,14.6,15,9.5,13.5,0.37,,2.38,7.3,
36,Isle LaMotte (off Grand Isle),8/23/06,1100,H,COM,13,12.4,14.4,0.49,,,,
36,Isle LaMotte (off Grand Isle),8/28/06,1120,U,1,12.1,6.7,13.5,0.35,19.6,2.48,,1.19E+06
36,Isle LaMotte (off Grand Isle),9/5/06,1040,E,8.6,12.6,5.1,13.8,0.34,,5.86,4.3,
36,Isle LaMotte (off Grand Isle),9/5/06,1045,H,COM,14.6,11.5,14.7,0.48,,,,
36,Isle LaMotte (off Grand Isle),9/11/06,1115,E,10.4,14.3,7.3,13.3,0.36,18.7,4,5.2,7.92E+06
36,Isle LaMotte (off Grand Isle),9/11/06,1140,H,COM,15.1,11.6,14.7,0.36,,,,
36,Isle LaMotte (off Grand Isle),9/20/06,1045,E,10,15,5.6,13.9,0.32,,3.66,5,
36,Isle LaMotte (off Grand Isle),9/20/06,1045,H,COM,15.9,12.4,14.7,0.49,,,,
