StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
40,St. Albans Bay,4/27/06,1300,U,4.4,25.2,11.4,11.9,0.34,8.6,8.66,2.2,0
40,St. Albans Bay,5/10/06,1255,U,6,20.9,9.4,10.8,0.3,14.7,4.04,3.6,775000
40,St. Albans Bay,6/2/06,1355,U,5.8,28.7,19.2,11.2,0.49,19.9,1.06,2.9,1.37E+06
40,St. Albans Bay,6/6/06,1210,U,6,21.9,15.3,10.3,0.38,,1.36,6.1,
40,St. Albans Bay,6/15/06,1125,U,6,21.4,15.5,10.1,0.39,17.7,2.43,4.2,1.60E+06
40,St. Albans Bay,6/30/06,1127,U,6,31,,10.5,0.48,,4.82,3.4,
40,St. Albans Bay,7/11/06,1209,U,6,35,15,10.4,0.45,,2.61,3,
40,St. Albans Bay,7/11/06,1250,U,6,30.3,15.1,10.6,0.39,24.5,3.53,3.4,1.62E+07
40,St. Albans Bay,7/26/06,1223,U,5,32.3,8.9,10.1,0.34,,9.68,2.5,
40,St. Albans Bay,8/1/06,1240,U,4.6,27.7,9.1,9.9,0.41,,13.4,2.3,6.92E+07
40,St. Albans Bay,8/8/06,1145,U,5.4,36.5,10,9.9,0.49,,13.2,2.7,
40,St. Albans Bay,8/14/06,1315,U,4,32.7,12.2,10.1,0.42,,14.7,2,2.53E+07
40,St. Albans Bay,8/23/06,1240,U,5.2,27.4,9.5,9.9,0.37,,7.7,2.6,
40,St. Albans Bay,8/25/06,1215,U,4.2,30.8,11.2,9.9,0.43,21.7,12.2,2.1,1.28E+08
40,St. Albans Bay,9/5/06,1200,U,3.6,29.3,7.2,10.4,0.43,,12.3,1.8,
40,St. Albans Bay,9/5/06,1230,U,3.6,30.7,10.3,10.1,0.38,19.4,18.5,1.8,1.50E+08
40,St. Albans Bay,9/20/06,1245,U,5,26.5,10.1,10,0.35,19.5,12.8,2.5,9.39E+07
40,St. Albans Bay,9/21/06,1220,U,3,39.2,8.3,10.5,0.48,,17.8,1.5,
40,St. Albans Bay,10/5/06,1150,U,3.4,36.7,14.8,10.9,0.53,14.4,17.6,1.7,3.19E+08
40,St. Albans Bay,10/17/06,1100,U,6,20.9,11.2,10.1,0.31,12.7,10.9,3.5,1.79E+07
40,St. Albans Bay,5/2/07,1200,U,4,22.7,12.7,10.5,0.38,7.5,6.65,2,302000
40,St. Albans Bay,5/22/07,1130,U,5,23.3,7.4,10.2,0.35,11,3.85,3.7,0
40,St. Albans Bay,6/5/07,1150,U,4,23.8,8.8,9.8,0.34,17.1,4.23,1.8,0
40,St. Albans Bay,6/6/07,1310,U,3.4,33.5,10,10.7,0.4,,4.85,1.7,
40,St. Albans Bay,6/19/07,1210,U,6,19.8,8.9,9.3,0.33,21.9,1.07,4,3.07E+06
40,St. Albans Bay,6/25/07,1355,U,6.5,20.9,10.2,9.6,0.34,,7.94,3.3,
40,St. Albans Bay,7/10/07,1330,U,6.5,23.6,9.2,9.3,0.32,,6.82,3.7,
