StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
46,Isle LaMotte (off Rouses Pt),4/20/06,1025,U,6,12.7,7.3,13.7,0.44,7.2,3.43,6.3,0
46,Isle LaMotte (off Rouses Pt),5/9/06,1215,U,6,10.2,8.5,13.6,0.4,13.6,1.36,6.7,0
46,Isle LaMotte (off Rouses Pt),6/7/06,1215,U,6,11.2,8.6,13.6,0.47,14.2,1.65,5.2,0
46,Isle LaMotte (off Rouses Pt),6/9/06,1115,E,6,11.3,6.7,13.8,0.43,,2.75,7,
46,Isle LaMotte (off Rouses Pt),6/9/06,1145,H,5,9.4,6.9,13.5,0.44,,,,
46,Isle LaMotte (off Rouses Pt),6/23/06,1200,U,6,13.5,5.5,13.5,0.42,,3.08,4,
46,Isle LaMotte (off Rouses Pt),6/23/06,1350,U,6,12.3,8.8,12.7,0.45,17.8,2.33,4,49600
46,Isle LaMotte (off Rouses Pt),7/14/06,900,U,6,15.5,6.3,12.6,0.4,,1.48,5,
46,Isle LaMotte (off Rouses Pt),7/26/06,,U,COM,16.4,6.3,13.5,0.34,,,,
46,Isle LaMotte (off Rouses Pt),7/26/06,1045,U,6,13.8,8.1,12.7,0.39,22.1,5.06,4,0
46,Isle LaMotte (off Rouses Pt),7/28/06,,U,6,15.8,8,13.4,0.38,,5.46,4,
46,Isle LaMotte (off Rouses Pt),8/8/06,1245,U,6,18.8,11.9,12.9,0.36,23.4,2.34,4.4,6.25E+06
46,Isle LaMotte (off Rouses Pt),8/11/06,1045,U,6,18.7,9.2,13.2,0.41,,1.99,6,
46,Isle LaMotte (off Rouses Pt),8/24/06,1255,U,6,17.5,11.8,13.1,0.35,21.5,2.83,6.5,7.95E+06
46,Isle LaMotte (off Rouses Pt),8/25/06,1230,U,6,15.3,9.6,13,0.38,,2.42,6,
46,Isle LaMotte (off Rouses Pt),9/7/06,1235,U,6,17.1,8.4,13.3,0.47,19.4,5.91,4.5,3.09E+06
46,Isle LaMotte (off Rouses Pt),9/8/06,900,U,6,18.6,5.8,13.6,0.29,,6.67,4.5,
46,Isle LaMotte (off Rouses Pt),9/22/06,,U,6,16.4,8.3,14.5,0.28,,2.48,5,
46,Isle LaMotte (off Rouses Pt),9/22/06,1220,U,6,17.5,12.5,14.4,0.29,17.5,2.98,5.3,696000
46,Isle LaMotte (off Rouses Pt),10/6/06,1250,U,6,16.3,10.9,13.5,0.29,,0.73,6.8,
46,Isle LaMotte (off Rouses Pt),10/6/06,1320,U,5.7,15.5,13.7,13.8,0.33,14.7,0.64,B6.7,2.06E+06
46,Isle LaMotte (off Rouses Pt),4/26/07,1230,U,6,16.2,10.5,12.7,0.46,6.4,3.21,3.5,0
46,Isle LaMotte (off Rouses Pt),5/11/07,1225,U,6,14,7,12.4,0.47,10,3.05,4.1,0
46,Isle LaMotte (off Rouses Pt),5/18/07,1300,U,6.5,10.5,7,13.3,0.44,,1.81,4.5,
46,Isle LaMotte (off Rouses Pt),5/29/07,1230,U,6,10.2,7.1,12.5,0.42,13.1,3.53,4.2,418000
46,Isle LaMotte (off Rouses Pt),6/1/07,1230,U,6.5,11.1,<5,12,0.44,,3.32,4.4,
46,Isle LaMotte (off Rouses Pt),6/14/07,1300,E,6.5,10.8,<5,12.8,0.42,,1.46,6.5,
46,Isle LaMotte (off Rouses Pt),6/14/07,1300,H,5,8.1,<5,13,0.41,,,,
46,Isle LaMotte (off Rouses Pt),6/18/07,1055,U,6,11.9,6.8,12.6,0.4,19.5,1.53,B6.4,0
46,Isle LaMotte (off Rouses Pt),6/29/07,1330,U,6.5,8.5,<5,13.5,0.38,,1.68,6.2,
46,Isle LaMotte (off Rouses Pt),7/2/07,1030,U,6,13.5,6.9,13.4,0.33,17.7,0.95,B6,0
46,Isle LaMotte (off Rouses Pt),7/12/07,1300,U,6.5,13.8,<5,13.5,0.36,,2.01,6.2,
46,Isle LaMotte (off Rouses Pt),7/18/07,1315,U,5,11.8,8.7,13.6,0.35,21.2,3.34,4.1,723000
46,Isle LaMotte (off Rouses Pt),7/25/07,1300,U,6.5,12.5,5.9,13.5,0.34,,3.4,6.2,
46,Isle LaMotte (off Rouses Pt),8/2/07,1230,U,5,17.6,7.9,13.8,0.36,25.3,5.5,3.3,0
46,Isle LaMotte (off Rouses Pt),8/7/07,1300,U,6.5,22.9,13.8,13.2,0.38,,2.03,5.5,
46,Isle LaMotte (off Rouses Pt),8/20/07,1430,U,6.5,20.2,6.1,13.1,0.32,,3.74,4.8,
46,Isle LaMotte (off Rouses Pt),8/29/07,1300,U,5,20.8,9.2,13.3,0.3,21.8,6.18,3.5,4.88E+06
46,Isle LaMotte (off Rouses Pt),9/4/07,1130,U,6.5,16.7,6.1,13.6,0.24,,4.55,4.5,
46,Isle LaMotte (off Rouses Pt),9/18/07,1330,U,6.5,16.5,8.1,13.2,0.28,,3.35,5.9,
46,Isle LaMotte (off Rouses Pt),9/18/07,1045,U,9.5,18.5,10.6,13.4,0.3,17.3,4.53,B5.9,1.73E+06
46,Isle LaMotte (off Rouses Pt),10/5/07,1115,U,6.5,16.4,7.9,13.4,0.27,,2.61,5.9,
46,Isle LaMotte (off Rouses Pt),10/9/07,1300,U,5,16.3,8.4,13.6,0.34,16.4,10.9,B5.8,573000
46,Isle LaMotte (off Rouses Pt),10/25/07,1250,U,5,15.7,12.3,13.6,0.39,13.8,0.82,B5.8,0
46,Isle LaMotte (off Rouses Pt),5/2/08,1215,U,7,12.5,7.8,13.3,0.43,7.3,2.23,6.5,0
46,Isle LaMotte (off Rouses Pt),5/16/08,1045,U,6,11.8,8.5,12.7,0.4,12,2.08,5.2,0
46,Isle LaMotte (off Rouses Pt),5/30/08,1330,U,6,8.2,5.8,13,0.42,14.6,1,,0
46,Isle LaMotte (off Rouses Pt),6/5/08,1430,U,6.5,12.8,6,12.6,0.46,,2,6.8,
46,Isle LaMotte (off Rouses Pt),6/13/08,1350,U,6,11,6.4,12.3,0.43,19.1,4.13,3,0
46,Isle LaMotte (off Rouses Pt),6/25/08,1340,U,6,16.6,10.6,13.2,0.39,20.8,2.73,5,0
46,Isle LaMotte (off Rouses Pt),6/27/08,1230,U,6.5,15.6,7.4,,0.2,20.7,1.66,6.5,
46,Isle LaMotte (off Rouses Pt),7/8/08,1300,U,6.5,23.5,8.5,,0.38,22.4,3.24,6,
46,Isle LaMotte (off Rouses Pt),7/10/08,1245,U,6,28.7,12.9,13.3,0.38,23.3,2.87,4.1,1.01E+06
46,Isle LaMotte (off Rouses Pt),7/30/08,930,U,6.5,21.1,14.1,13.4,0.28,23.5,2.26,6.8,
46,Isle LaMotte (off Rouses Pt),8/12/08,1330,U,6.5,17.2,6.3,13.4,0.29,22.7,5.25,5.5,5.51E+06
46,Isle LaMotte (off Rouses Pt),8/22/08,1230,U,6.5,17,6.5,13.6,0.3,21.9,4.54,5.1,
46,Isle LaMotte (off Rouses Pt),9/2/08,1330,U,6.5,16,6.2,14.1,0.31,22.6,12.9,6.2,
46,Isle LaMotte (off Rouses Pt),9/4/08,1330,U,6.5,15.6,7.8,13.7,0.32,23.4,3.26,4.5,5.05E+06
46,Isle LaMotte (off Rouses Pt),9/19/08,1045,U,6.5,18.3,12.4,13.2,0.33,18,3.52,4.5,7.44E+06
46,Isle LaMotte (off Rouses Pt),9/23/08,1300,U,6.5,17,10.2,13,0.34,17.7,2.01,6.2,
46,Isle LaMotte (off Rouses Pt),10/7/08,1315,U,5,14.9,12.4,12.9,0.3,14.4,1.37,B6.3,550000
46,Isle LaMotte (off Rouses Pt),10/8/08,1230,U,6.5,17,11.8,13.4,0.31,13.5,0.67,6.5,
46,Isle LaMotte (off Rouses Pt),11/5/08,1205,U,6,14,11.4,14,0.43,8.4,0.87,5.5,198000
46,Isle LaMotte (off Rouses Pt),4/15/09,1230,U,6,11.7,8.3,13.7,0.44,3.9,2.03,6,0
46,Isle LaMotte (off Rouses Pt),4/30/09,1210,U,6,9.4,6.8,13.2,0.42,9.1,1.25,B6.6,0
46,Isle LaMotte (off Rouses Pt),5/18/09,1240,U,6,10.5,6.4,12.9,0.41,11,1.23,B6.8,0
46,Isle LaMotte (off Rouses Pt),6/1/09,1330,U,6,9.5,5.6,13.2,0.35,,1.25,6,
46,Isle LaMotte (off Rouses Pt),6/2/09,1230,U,6,9.5,6.4,13.5,0.35,11.9,1,5.1,0
46,Isle LaMotte (off Rouses Pt),6/17/09,1325,U,6,12.4,7.9,12.9,0.35,18.4,1.69,4,0
46,Isle LaMotte (off Rouses Pt),7/9/09,1230,U,6,14.8,6,13.6,0.34,,2.73,B6.4,0
46,Isle LaMotte (off Rouses Pt),7/15/09,1230,U,6,20,13.7,13.5,0.42,19.6,1.58,5,
46,Isle LaMotte (off Rouses Pt),7/21/09,1200,U,6,13.2,5.3,13.9,0.2,21.9,1.83,B6.8,
46,Isle LaMotte (off Rouses Pt),7/28/09,1310,U,6,24.4,11.3,13,0.53,22.9,2.12,3.8,0
46,Isle LaMotte (off Rouses Pt),8/7/09,1230,U,6,19.7,12.8,13.3,0.3,22.4,1.75,5,
46,Isle LaMotte (off Rouses Pt),8/11/09,1330,U,6,21.8,18.3,13.5,0.3,23,2.13,6,11400
46,Isle LaMotte (off Rouses Pt),8/17/09,1230,U,6,20.2,13.7,13.6,0.31,23.7,2.73,5.5,
46,Isle LaMotte (off Rouses Pt),9/1/09,1300,U,6,22.2,10.9,13.6,0.3,20.1,3.26,5.2,
46,Isle LaMotte (off Rouses Pt),9/1/09,1300,U,6,20.7,13.9,13.8,0.29,20.2,4.31,5.7,8.15E+06
46,Isle LaMotte (off Rouses Pt),9/17/09,1235,U,6,20.4,13.2,13.8,0.26,19,3.41,5.2,2.32E+06
46,Isle LaMotte (off Rouses Pt),9/21/09,1330,U,6,16.8,8.4,12.9,0.2,17.6,2.05,B6.2,
46,Isle LaMotte (off Rouses Pt),9/29/09,1045,U,6,17.2,11.2,14,0.27,16.2,3.34,5.5,1.69E+06
46,Isle LaMotte (off Rouses Pt),4/12/10,1215,U,6,11.1,8.3,13.7,0.41,6,H0.8,B6,0
46,Isle LaMotte (off Rouses Pt),5/4/10,1220,U,6,11.2,9.2,12.9,0.41,9.2,H0.91,B6.9,0
46,Isle LaMotte (off Rouses Pt),5/18/10,1250,U,6,9.4,6.6,13.2,0.39,13.6,H1.44,B6.6,0
46,Isle LaMotte (off Rouses Pt),5/19/10,1400,U,1,11.9,5.6,13,0.38,12,,4,
46,Isle LaMotte (off Rouses Pt),6/2/10,1350,U,6,9.4,5.7,12.9,0.36,16.8,1.29,4,
46,Isle LaMotte (off Rouses Pt),6/2/10,1340,U,6,10.7,7.1,13,0.32,17.2,1.7,5.9,7830
46,Isle LaMotte (off Rouses Pt),6/15/10,1300,U,6,17.1,13.1,13.4,0.36,14.1,H1.51,4.5,
46,Isle LaMotte (off Rouses Pt),6/25/10,1300,U,6,19.9,10.3,13,0.39,20.5,2.67,5.9,0
46,Isle LaMotte (off Rouses Pt),7/6/10,1200,U,6,16.1,6.2,13.4,0.3,22.8,3.59,4.5,
46,Isle LaMotte (off Rouses Pt),7/14/10,1040,U,6,J19,12.3,13.1,0.35,25.2,3.64,4,1.13E+06
46,Isle LaMotte (off Rouses Pt),7/20/10,1130,U,6,27.5,13.6,13.4,0.39,,4.58,4.5,
46,Isle LaMotte (off Rouses Pt),7/30/10,1230,U,6,22.2,10.4,13.7,0.3,22.5,3.74,3.8,0
46,Isle LaMotte (off Rouses Pt),8/5/10,1215,U,6,20.1,6.2,13.2,0.23,,4.02,3,
46,Isle LaMotte (off Rouses Pt),8/11/10,1315,U,5.4,29.3,17.4,13.1,0.37,23.5,9.11,2.7,161000
46,Isle LaMotte (off Rouses Pt),8/17/10,1310,U,6,26.1,16,13,0.24,,3.38,3,
46,Isle LaMotte (off Rouses Pt),8/24/10,1240,U,6,24.4,16.2,12.9,0.15,22.4,4.24,5,0
46,Isle LaMotte (off Rouses Pt),9/1/10,1230,U,1,20.6,16.8,13.2,0.32,24.4,,3,
46,Isle LaMotte (off Rouses Pt),9/8/10,1250,U,3.6,33.1,12.9,13,0.35,21.3,12.8,1.8,1.91E+07
46,Isle LaMotte (off Rouses Pt),10/4/10,1200,U,3,39.7,25.6,14.1,0.53,14.8,4.48,1.5,
46,Isle LaMotte (off Rouses Pt),10/5/10,1310,U,6,20.8,14.8,13.5,0.37,14.3,3.44,4.4,4.55E+06
46,Isle LaMotte (off Rouses Pt),5/11/11,1105,U,6,15.7,9.2,11.9,0.46,,2.85,3.2,0
46,Isle LaMotte (off Rouses Pt),6/8/11,1030,U,4.6,15,7.6,11.9,0.43,15.4,5.1,2.3,0
46,Isle LaMotte (off Rouses Pt),6/14/11,1037,U,6,15.9,13,11.3,0.41,15.7,1.54,3.5,
46,Isle LaMotte (off Rouses Pt),6/22/11,1226,U,6,17.1,8.6,11.4,0.4,20.7,1.97,3.5,
46,Isle LaMotte (off Rouses Pt),6/22/11,1300,U,6,17.2,14.5,11.7,0.4,21.2,2.7,4.7,0
46,Isle LaMotte (off Rouses Pt),7/8/11,1220,U,6,17.4,15,11.4,0.36,22,4.31,4.2,0
46,Isle LaMotte (off Rouses Pt),7/13/11,1200,U,5,23.3,9,11.5,0.43,23.4,6.35,2.5,
46,Isle LaMotte (off Rouses Pt),7/19/11,1215,U,6,25.2,7.2,11.7,0.33,,3.7,3,
46,Isle LaMotte (off Rouses Pt),7/20/11,1215,U,6,14.8,9.3,11.7,0.34,23.8,2.78,3.8,9.26E+06
46,Isle LaMotte (off Rouses Pt),8/1/11,1243,U,6,25.4,13.1,12.3,0.36,24,2.65,3.5,
46,Isle LaMotte (off Rouses Pt),8/12/11,1235,U,6,20.2,10.7,12,H0.18,23.2,J3.55,4.5,2.21E+07
46,Isle LaMotte (off Rouses Pt),8/31/11,1157,U,4,H59.7,H37.4,H9.8,H0.88,,H6.75,2,
46,Isle LaMotte (off Rouses Pt),9/12/11,1235,U,6,19.3,11.4,H12.8,0.39,19.5,H8.08,3.6,1.10E+07
46,Isle LaMotte (off Rouses Pt),9/26/11,1200,U,6,H17.3,H11.1,H12.2,0.37,19.2,H6.11,5.1,400000
