StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
50,Missisquoi Bay,4/20/06,1135,U,3,34.2,14.5,6.8,0.82,10.3,9.46,1.6,0
50,Missisquoi Bay,5/9/06,1025,U,3,31.9,16.7,7.2,0.67,15,9.95,1.8,0
50,Missisquoi Bay,5/23/06,1045,U,2,77.2,24.5,4.6,0.68,11.2,2.77,0.2,0
50,Missisquoi Bay,6/7/06,1015,U,3,32.9,26.7,5.7,0.98,20,2.66,2,0
50,Missisquoi Bay,6/9/06,945,U,3,38.4,20.4,5.8,1.01,,4.61,1.5,
50,Missisquoi Bay,6/23/06,1015,U,3,35.5,11.1,5.4,0.98,,12.7,1.7,
50,Missisquoi Bay,6/23/06,1055,U,3,30.2,15.7,5.3,0.97,21.3,15.5,1.7,0
50,Missisquoi Bay,7/14/06,1130,U,3,32.8,10.6,5.3,0.76,,6.51,1.5,
50,Missisquoi Bay,7/25/06,1040,U,3,37.2,23.3,5.4,0.8,24.3,7.14,1.7,3.33E+07
50,Missisquoi Bay,7/28/06,,U,2,44.1,12.9,6,0.66,,22.8,1,
50,Missisquoi Bay,8/8/06,1035,U,3,48.3,32.4,5.7,0.79,24.1,6.22,2,5.35E+07
50,Missisquoi Bay,8/11/06,930,U,3,44.8,25.9,5.6,0.75,,4.44,2.2,
50,Missisquoi Bay,8/24/06,1035,U,3,43,26.6,5.7,0.63,21.7,17,2.3,1.45E+08
50,Missisquoi Bay,8/25/06,1030,U,3,41.8,27.6,5.6,0.63,,3.69,3.2,
50,Missisquoi Bay,9/7/06,1025,U,2.8,60.4,21.1,6.1,0.56,19.3,30.9,1.4,1.29E+08
50,Missisquoi Bay,9/8/06,1200,U,3,61,17.6,6.3,0.59,,24.4,1.5,
50,Missisquoi Bay,9/22/06,,U,2.2,84.1,15.6,6.6,0.62,,30.7,1.1,
50,Missisquoi Bay,9/22/06,1100,U,2.2,75.5,23.2,6.7,0.64,17.3,36,1.1,4.23E+08
50,Missisquoi Bay,10/6/06,1130,U,3,67.9,27.7,6.8,0.59,,9.77,1.7,
50,Missisquoi Bay,10/6/06,1100,U,2.6,69.4,33.6,7.3,0.63,13,12.6,1.3,7.05E+08
50,Missisquoi Bay,10/19/06,1030,U,3,60.5,31.5,6.7,0.5,10.5,11.7,1.5,5.22E+07
50,Missisquoi Bay,4/26/07,1050,U,2,36.8,15.5,4.8,0.74,8.5,8.36,0.6,0
50,Missisquoi Bay,5/11/07,1035,U,3.5,37.9,16.7,5.7,0.76,14.3,11.5,1.6,163000
50,Missisquoi Bay,5/18/07,1100,U,3.5,32.1,11.7,5.6,0.71,,6.25,1.8,
50,Missisquoi Bay,5/29/07,1030,U,3,37.9,13.6,5.7,0.76,16.8,11,1.4,230000
50,Missisquoi Bay,6/1/07,1045,U,2.4,40.6,9.5,5.6,0.65,,18.9,1.2,
50,Missisquoi Bay,6/13/07,1035,U,3,35.5,18.5,5.8,0.59,22.1,14.1,1.6,0
50,Missisquoi Bay,6/14/07,1100,U,3.7,47.5,13.2,6.1,0.69,,21.3,1.9,
50,Missisquoi Bay,6/29/07,1100,U,3.5,46.1,17.7,6.6,0.63,,11.2,2.2,
50,Missisquoi Bay,7/2/07,1140,U,3,39,20.9,6.5,0.49,20.5,8.37,2.2,0
50,Missisquoi Bay,7/12/07,1100,U,3.5,55.5,19.7,7.2,0.49,,10.5,2.8,
50,Missisquoi Bay,7/18/07,1030,U,3,52.3,28.1,7.6,0.54,22.4,15.3,1.9,118000
50,Missisquoi Bay,7/25/07,1100,U,3.2,61.3,20.5,7.1,0.57,,8.66,1.6,
50,Missisquoi Bay,8/7/07,1100,U,4,68.6,34.5,7.5,0.51,,9.41,2,
50,Missisquoi Bay,8/13/07,1140,U,3,67.5,28.9,7.5,0.4,24.1,12.7,1.8,1.32E+07
50,Missisquoi Bay,8/20/07,1300,U,3.5,44.9,21.5,7.2,0.4,,5.67,2.3,
50,Missisquoi Bay,8/29/07,1025,U,3,50.8,28.7,7.3,0.35,21.9,4.84,1.9,726000
50,Missisquoi Bay,9/4/07,1415,U,3.5,53.6,27.6,7.9,0.35,,5.54,2.1,
50,Missisquoi Bay,9/18/07,1100,U,3.5,58.9,37.1,7.6,0.34,,5.47,2.5,
50,Missisquoi Bay,9/18/07,1215,U,3.5,60,43,7.7,0.36,17.2,4.58,2.5,2.08E+06
50,Missisquoi Bay,10/9/07,1100,U,3,72.3,37.2,8.2,0.35,15.7,9.62,2.4,248000
50,Missisquoi Bay,10/10/07,1230,U,3.5,54.2,26.4,8,0.35,,4.54,2.6,
50,Missisquoi Bay,10/25/07,1050,U,2,64.6,37.2,8.3,0.69,13,5.36,1,305000
50,Missisquoi Bay,5/2/08,1040,U,3.5,31.1,13.9,5.1,0.59,11.3,8.92,1.7,0
50,Missisquoi Bay,5/16/08,1145,U,4,32,14.5,5.9,0.49,15.5,9.19,2.4,0
50,Missisquoi Bay,5/30/08,1050,U,3.5,33.1,15.4,6.2,0.44,15.7,7.41,2.3,5640
50,Missisquoi Bay,6/5/08,1230,U,3.5,45,21,6.1,0.5,,10.8,2.7,
50,Missisquoi Bay,6/13/08,1045,U,3.5,41.9,18.3,6.6,1,21.2,14.6,2,0
50,Missisquoi Bay,6/25/08,1035,U,2,46.9,25.7,6.2,0.86,21.4,23.4,1.2,35500
50,Missisquoi Bay,6/27/08,1030,U,3,42.5,16.7,3.6,0.43,22.1,18.9,1.5,
50,Missisquoi Bay,7/8/08,1030,U,2.4,46.2,18.1,3.7,0.44,24.2,10.2,1.2,
50,Missisquoi Bay,7/15/08,1045,U,3,61.6,44.6,6.8,0.84,23.1,1.08,2.3,168000
50,Missisquoi Bay,7/29/08,900,U,2.2,61.9,19.6,6,0.64,23.2,22.3,1.1,
50,Missisquoi Bay,8/6/08,1045,U,3.5,56.5,26.8,6.2,0.64,23.2,14.8,1.7,5.83E+07
50,Missisquoi Bay,8/12/08,1030,U,2.2,71,16.3,5.8,0.78,22.2,72.6,1.1,
50,Missisquoi Bay,8/20/08,1050,U,2,66.4,16.6,5.9,0.74,21.3,44.9,1,1.26E+09
50,Missisquoi Bay,8/22/08,1000,U,2.2,63.8,17.6,6.1,0.59,21.6,26.8,1.1,
50,Missisquoi Bay,9/2/08,1145,U,2.2,50.6,14.8,6.8,0.52,22.6,24.3,1.1,
50,Missisquoi Bay,9/4/08,1030,U,2,51.6,17.9,6.7,0.68,22.5,20.6,1.2,2.40E+08
50,Missisquoi Bay,9/17/08,1040,U,2.5,61.4,34.6,6.7,0.53,19,12.9,1.3,2.14E+07
50,Missisquoi Bay,9/23/08,1115,U,3.5,44.3,16.2,7.1,0.48,16.3,9.08,1.8,
50,Missisquoi Bay,10/7/08,1040,U,3,39.6,15.2,7.2,0.41,12.8,8.89,1.5,3.75E+07
50,Missisquoi Bay,10/8/08,1030,U,3,39.6,14.8,6.9,0.43,13,11.4,1.5,
50,Missisquoi Bay,11/5/08,1030,U,2,51.6,24.9,7.7,0.59,6.5,7.28,1,681000
50,Missisquoi Bay,4/15/09,1030,U,2,34.3,14.5,6.8,0.86,5.1,12.7,0.8,0
50,Missisquoi Bay,4/30/09,1025,U,2.6,30.9,15.2,6.6,0.67,12.3,5.39,1.3,0
50,Missisquoi Bay,5/18/09,1040,U,2,69.3,28.1,6.7,0.7,13.9,13.1,0.9,4.39E+06
50,Missisquoi Bay,6/1/09,1045,U,3,57.7,26.2,6.3,0.56,,3.81,1.6,
50,Missisquoi Bay,6/2/09,1020,U,2.4,56.1,34.9,6.6,0.57,15.3,4.16,1.2,0
50,Missisquoi Bay,6/17/09,1055,U,3,34.6,19.5,6.8,0.46,20.6,12.3,1.7,0
50,Missisquoi Bay,7/9/09,1050,U,3,44.5,27.4,6.5,0.67,,6.83,2,2.78E+06
50,Missisquoi Bay,7/15/09,1045,U,2.2,51.2,16.5,6.6,0.64,20.2,14.6,1.1,
50,Missisquoi Bay,7/21/09,1045,U,3,30.5,9.8,6.4,0.29,22.6,9.29,1.5,
50,Missisquoi Bay,7/28/09,1050,U,3,38.1,18,6.3,0.48,23.2,6.38,1.6,6.21E+07
50,Missisquoi Bay,8/7/09,1030,U,2.4,66.6,43.5,6.4,0.52,22.6,5.1,1.2,
50,Missisquoi Bay,8/11/09,1050,U,2.6,61,33.9,6.8,0.48,22.8,2.02,1.3,7.03E+07
50,Missisquoi Bay,8/17/09,1030,U,2.4,54,22.3,6.9,0.44,24.5,7.77,1.2,
50,Missisquoi Bay,9/1/09,1030,U,3,47.8,21.6,7.1,0.39,20.1,4.45,1.8,
50,Missisquoi Bay,9/1/09,1055,U,3,54.4,30.3,6.9,0.41,20,6.75,1.8,2.28E+07
