StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
4,South Lake A,4/12/06,1225,U,2.2,29.5,15.7,18.8,0.7,,4.84,1.1,0
4,South Lake A,5/2/06,1215,U,3,30.2,16.4,18.9,0.58,,4.29,1.5,0
4,South Lake A,5/25/06,1245,E,3.4,29.5,14.7,16.4,0.39,15.2,9.53,1.7,0
4,South Lake A,5/25/06,1250,H,8,28,13.2,15.7,0.55,,,,
4,South Lake A,6/8/06,1058,U,4.6,31.5,18.8,16.2,0.39,,5.14,2.3,
4,South Lake A,6/8/06,1235,U,3.6,29.3,15.1,16,0.3,18.8,5.22,1.8,0
4,South Lake A,6/30/06,1235,E,2,59.8,39.8,13,0.51,23.8,5.14,0.8,0
4,South Lake A,6/30/06,1250,H,COM,29.4,17.1,15,0.51,,,,
4,South Lake A,7/13/06,1115,E,3.4,34.6,17.1,14,0.39,,4.38,1.7,
4,South Lake A,7/13/06,1135,H,COM,27.1,17.7,14.5,0.47,,,,
4,South Lake A,7/24/06,1230,U,2.8,69.6,25.6,13.6,0.48,24.2,12.4,1.4,2.15E+06
4,South Lake A,7/31/06,1055,E,3,37.1,8.3,14.5,,,16.3,1.5,
4,South Lake A,7/31/06,1105,H,COM,34.3,19.1,15.1,0.55,,,,
4,South Lake A,8/3/06,1235,E,2,33.7,18.4,13.7,0.37,25.1,4.59,1,116000
4,South Lake A,8/3/06,1255,H,COM,34.7,22.4,13.4,0.55,,,,
4,South Lake A,8/11/06,1325,U,3.4,40.7,24.7,15,0.41,23.4,4.34,1.7,2.68E+06
4,South Lake A,8/16/06,1050,E,3.2,37.5,22.2,15.6,0.41,,11.5,1.6,
4,South Lake A,8/29/06,1100,U,4,36.2,20.6,17.2,0.41,,2.71,2,
4,South Lake A,8/31/06,1220,U,3.6,39.3,24.8,17.2,0.39,20.9,6.46,1.8,1.32E+06
4,South Lake A,9/15/06,945,U,4.4,38.7,27.1,18.1,0.35,,4.56,2.2,
4,South Lake A,9/18/06,1220,U,4,42.8,32.9,19,0.44,19.9,4.67,2,0
4,South Lake A,9/27/06,1240,U,3.8,43.6,26.3,18.9,0.39,17.5,12.4,1.9,0
4,South Lake A,9/29/06,1130,U,4,35.1,15.5,18.1,0.31,,10.5,2,
4,South Lake A,10/16/06,1255,U,3.2,37.8,28.5,19.6,0.34,11.7,1.86,1.6,0
4,South Lake A,5/1/07,1255,U,1.5,38.9,21.7,16.2,0.56,11.5,3.84,0.7,0
4,South Lake A,5/14/07,1245,U,2.5,24.8,11.8,13.6,0.4,15.1,3.18,1.3,0
4,South Lake A,5/25/07,1235,E,3,25.1,11.3,13.7,0.31,19,12.4,1.6,0
4,South Lake A,5/25/07,1245,H,COM,18,13.5,14,0.45,,,,
4,South Lake A,5/31/07,1015,E,3.2,27.9,6.6,14.4,0.34,,13.4,1.6,
4,South Lake A,5/31/07,1035,H,COM,14.9,7.6,13.8,0.54,,,,
4,South Lake A,6/7/07,1030,E,4,26.7,9.1,14.8,0.34,,2.23,2,
4,South Lake A,6/7/07,1040,H,COM,14.2,8.4,13.9,0.57,,,,
4,South Lake A,6/12/07,1230,E,4.5,24.4,10.7,15.6,0.31,21.9,6.26,2.2,0
4,South Lake A,6/12/07,1245,H,COM,18.9,10.2,14.2,0.45,,,,
4,South Lake A,6/18/07,900,E,3,29.5,7.6,15.4,0.27,,7.81,1.5,
4,South Lake A,6/18/07,930,H,COM,17.9,8.2,14.1,0.43,,,,
4,South Lake A,6/18/07,915,E,COM,29,10.4,15.5,0.3,,,,
4,South Lake A,6/27/07,1250,E,3.5,30.7,16.2,17.2,0.31,24.6,5.92,1.7,2.98E+06
4,South Lake A,6/27/07,1310,H,COM,21.2,15.7,14.7,0.39,,,,
4,South Lake A,7/3/07,1030,E,4,29.1,11.5,17.5,0.35,,5.59,2,
4,South Lake A,7/3/07,1045,H,COM,24.3,15.3,15.1,0.4,,,,
