StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
7,Port Henry Segment,5/1/06,1125,U,7.2,18.4,12,15.4,0.51,8.9,0.66,3.6,0
7,Port Henry Segment,5/24/06,1055,U,6,17,9.9,14.9,0.47,7.5,3.75,3,0
7,Port Henry Segment,6/6/06,1040,U,6.2,15.7,8.8,14.5,0.42,15.6,9.07,3.1,0
7,Port Henry Segment,6/7/06,1322,U,5.4,22.8,10.1,15.1,0.45,,9.11,2.7,
7,Port Henry Segment,6/19/06,1040,E,5.8,17.7,11.3,14.6,0.35,17.5,5.09,2.9,142000
7,Port Henry Segment,6/19/06,1055,H,COM,15.8,12.5,14.8,0.47,,,,
7,Port Henry Segment,7/17/06,1512,E,6,15.3,6.1,13.7,0.38,,8.56,3,
7,Port Henry Segment,7/17/06,1532,H,COM,15,10.4,14.9,0.48,,,,
7,Port Henry Segment,7/20/06,1045,E,5.6,19.4,8.1,13.6,0.44,24.3,8.59,2.8,1.64E+06
7,Port Henry Segment,7/20/06,1125,H,COM,14.3,9.1,14.2,0.44,,,,
7,Port Henry Segment,8/2/06,1130,E,5.8,16.2,6.7,14.1,0.39,,4.22,2.9,
7,Port Henry Segment,8/2/06,1140,H,COM,22.1,11.6,15.2,0.48,,,,
7,Port Henry Segment,8/4/06,1105,E,6.4,18.4,10.1,13.7,0.38,23.3,4.46,3.2,1.26E+06
7,Port Henry Segment,8/4/06,1135,H,COM,15.2,11.1,14.5,0.5,,,,
7,Port Henry Segment,8/15/06,1455,E,9.4,15.8,10.2,14,0.37,,1.43,4.7,
7,Port Henry Segment,8/15/06,1500,H,COM,15.3,12.8,14.9,0.55,,,,
7,Port Henry Segment,8/23/06,1100,E,7,17,12.9,14.1,0.41,22.1,2.79,3.5,3.74E+06
7,Port Henry Segment,8/23/06,1130,H,COM,15.3,12.9,14.5,0.52,,,,
7,Port Henry Segment,8/28/06,1255,E,6.2,19.7,8.6,14.1,0.37,,25.9,3.1,
7,Port Henry Segment,8/28/06,1300,H,COM,16.6,12.2,14.6,0.47,,,,
7,Port Henry Segment,9/6/06,1055,E,9.6,14,8.3,14.2,0.35,19.5,3.86,4.8,
7,Port Henry Segment,9/6/06,1135,H,COM,17.7,13.3,14.7,0.46,,,,596000
7,Port Henry Segment,9/7/06,1200,E,8.8,15.6,6,14.3,0.32,,3.87,4.4,
7,Port Henry Segment,9/7/06,1205,H,COM,17.4,13.7,14.8,0.48,,,,
7,Port Henry Segment,9/21/06,1030,U,10,19.2,10.6,14.7,0.39,17.7,5.9,5,3.02E+06
7,Port Henry Segment,5/8/07,1050,U,4,24.8,15.7,13,0.5,6.7,2.42,1.8,0
7,Port Henry Segment,5/24/07,1035,U,4,18.4,11.6,14,0.5,11,4.85,2.1,0
7,Port Henry Segment,6/6/07,1050,U,5,14.6,9.8,13.6,0.46,11.2,4.24,2.5,0
7,Port Henry Segment,6/7/07,1200,E,5.1,19.2,7.2,13.9,0.41,,4.19,2.6,
7,Port Henry Segment,6/7/07,1200,H,COM,18.4,13.1,14,0.51,,,,
7,Port Henry Segment,6/26/07,1035,E,9,16.5,7.6,13.7,0.39,,3.44,4.3,0
7,Port Henry Segment,6/26/07,1115,H,COM,13.3,9.4,13.3,0.5,,,,
7,Port Henry Segment,6/28/07,1250,E,7,13.2,7.3,13.8,0.45,,4.1,3.5,
7,Port Henry Segment,6/28/07,1255,H,COM,12,12,13.7,0.51,,,,
7,Port Henry Segment,7/20/07,1040,E,8,13.7,7.1,14.4,0.35,19.8,5.25,4,549000
7,Port Henry Segment,7/20/07,1120,H,COM,11.6,8.8,14.2,0.47,,,,
7,Port Henry Segment,7/24/07,1155,E,COM,17.6,8.6,13.9,0.39,,,4.2,
7,Port Henry Segment,7/24/07,1200,H,COM,14.9,11.1,13.8,0.5,,,,
7,Port Henry Segment,8/14/07,1150,E,8.1,13.3,6.8,13.8,0.38,,4.48,4.1,
7,Port Henry Segment,8/14/07,1151,H,COM,11,9.9,13.7,0.49,,,,
7,Port Henry Segment,8/21/07,1210,E,9.3,11.5,<5,13.6,0.4,,6.05,4.7,
7,Port Henry Segment,8/21/07,1215,H,COM,11.5,8.3,13.6,0.54,,,,
7,Port Henry Segment,8/21/07,1040,E,12,12.7,5.8,13.5,0.35,20.7,5.41,5.9,3.33E+06
7,Port Henry Segment,8/21/07,1125,H,COM,12.5,9.1,13.6,0.49,,,,
7,Port Henry Segment,9/17/07,1205,U,9.3,10.9,5.6,14,0.4,,8.94,4.7,
7,Port Henry Segment,9/24/07,1030,U,8,10.7,6.6,14,0.38,18.1,6.24,4,3.18E+06
7,Port Henry Segment,10/4/07,1210,E,11.1,12.3,5.4,14.1,0.35,,3.91,5.6,
7,Port Henry Segment,10/4/07,1215,H,COM,17.6,7.2,13.8,0.51,,,,
7,Port Henry Segment,10/15/07,1040,E,12,12.6,7.3,14.5,0.31,15.2,3.56,6,636000
7,Port Henry Segment,10/15/07,1100,H,COM,11.2,7.9,,0.46,,,,
7,Port Henry Segment,5/6/08,1030,U,6,22.3,15.6,15.2,0.49,7.5,1.95,3,0
7,Port Henry Segment,5/23/08,1040,U,5,19,11.7,14.9,0.48,9.6,3.73,2.5,0
7,Port Henry Segment,6/9/08,1050,E,10,13,7.6,14.7,0.39,17,1.56,4.8,0
7,Port Henry Segment,6/9/08,1120,H,COM,16.1,12.2,14.6,0.5,,,,
7,Port Henry Segment,6/23/08,1130,E,7.5,,7.6,15,0.36,16.6,3.59,3.7,0
7,Port Henry Segment,6/23/08,1200,H,COM,11.6,7.3,14.7,0.47,,,,
7,Port Henry Segment,6/27/08,1145,E,9,17.2,5,15.1,0.41,18.6,3.77,4.5,
7,Port Henry Segment,6/27/08,1215,H,COM,11.2,6.3,15.1,0.47,,,,
7,Port Henry Segment,7/8/08,1035,E,6,20.1,8.7,14.4,0.37,21.3,9.4,2.8,0
7,Port Henry Segment,7/8/08,1110,H,COM,14.1,9.3,14.5,0.49,,,,
7,Port Henry Segment,7/15/08,1150,E,7.1,17.1,5.7,14.7,0.42,19.4,5.01,3.6,
7,Port Henry Segment,7/15/08,1210,H,COM,14.3,11,14.8,0.51,,,,
7,Port Henry Segment,8/5/08,1045,E,6,26.9,14.8,13.8,0.39,22.2,9.9,2.8,5.51E+06
7,Port Henry Segment,8/5/08,1120,H,COM,17.3,13.9,14.5,0.48,,,,
7,Port Henry Segment,8/7/08,1146,E,6.5,23.9,10.4,14.2,0.38,23.5,4.62,3.3,
7,Port Henry Segment,8/7/08,1204,H,COM,17.3,14.9,14.8,0.48,,,,
7,Port Henry Segment,8/14/08,1149,E,7.1,28.2,12.7,14.3,0.47,22.7,4.53,3.6,
7,Port Henry Segment,8/14/08,1209,H,COM,15.2,12.3,14.6,0.51,,,,
7,Port Henry Segment,8/21/08,1045,E,5,34.2,16.4,14.2,0.42,21.2,10.5,2.4,3.31E+07
7,Port Henry Segment,8/21/08,1115,H,COM,17.9,12.6,14.7,0.49,,,,
7,Port Henry Segment,9/8/08,1219,E,8.8,20.3,11.3,14.1,0.43,20.7,1.72,4.4,
7,Port Henry Segment,9/8/08,1241,H,COM,24.8,17.3,14.3,0.52,,,,
7,Port Henry Segment,9/8/08,1050,E,9,20.7,15.1,15,0.39,20.8,3.15,4.6,3.15E+06
7,Port Henry Segment,9/8/08,1130,H,COM,18.2,13,15.4,0.48,,,,
7,Port Henry Segment,9/23/08,1338,U,7.5,18.5,6.3,14.6,0.39,17.5,13.5,3.8,
7,Port Henry Segment,9/25/08,1050,E,6.4,15.7,8.2,14.4,0.4,16.7,5.29,3.2,7.14E+06
7,Port Henry Segment,9/25/08,1120,H,COM,18.1,13.8,14.5,0.52,,,,
7,Port Henry Segment,10/23/08,1040,U,8.5,19.2,9.2,14.8,0.4,12.3,2.47,4.3,794000
7,Port Henry Segment,4/22/09,1035,U,6.4,20.9,12.2,14.7,0.48,4.5,2.99,3.2,0
7,Port Henry Segment,5/12/09,1055,U,6.8,18.5,11.4,14.6,0.48,11,5.99,3.4,0
7,Port Henry Segment,5/22/09,1055,E,5.8,17,8.6,14.5,0.39,10.8,3.87,2.9,0
7,Port Henry Segment,5/22/09,1120,H,COM,17.3,12,14.5,0.44,,,,
7,Port Henry Segment,6/8/09,1100,E,6,21.4,9.9,14.6,0.33,15.3,5.76,3,0
7,Port Henry Segment,6/8/09,1130,H,COM,11.4,8.8,14.7,0.38,,,,
7,Port Henry Segment,7/2/09,1040,E,4.4,15.4,8.1,14.5,0.37,,4.11,2.2,821000
7,Port Henry Segment,7/2/09,1110,H,COM,9.9,6.8,14.5,0.42,,,,
7,Port Henry Segment,7/14/09,1140,E,5.4,17.7,7.7,15,0.36,,7.64,2.7,0
7,Port Henry Segment,7/14/09,1210,H,COM,10.8,8.2,14.8,0.44,,,,
7,Port Henry Segment,7/15/09,1056,E,7.2,20.1,5.5,14.4,0.38,18.9,9.93,3.6,
7,Port Henry Segment,7/15/09,1121,H,COM,8,6.1,14.6,0.46,,,,
