StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
9,Otter Creek Segment,5/1/06,1310,U,6.2,17.7,13.2,15.4,0.59,5.8,2.11,3.1,0
9,Otter Creek Segment,5/24/06,1315,U,2,22.6,14.2,14.6,0.49,10,7.91,1,444000
9,Otter Creek Segment,6/6/06,1220,U,3.8,18.4,10,14.5,0.48,14.1,8.57,1.9,0
9,Otter Creek Segment,6/7/06,1155,U,5.8,38.4,14.8,15.2,0.46,,14,2.9,
9,Otter Creek Segment,6/19/06,1150,E,6.6,22.7,11.9,14.7,0.33,18.3,5.67,3.3,0
9,Otter Creek Segment,6/19/06,1205,H,COM,14.9,12.5,14.7,0.45,,,,
9,Otter Creek Segment,7/17/06,1325,E,4.8,24.6,8.9,13.2,0.39,,7.17,2.4,
9,Otter Creek Segment,7/17/06,1345,H,COM,15,10.6,14.6,0.47,,,,
9,Otter Creek Segment,7/20/06,1230,E,6,15.6,7.1,13.8,0.35,24,7.7,3,417000
9,Otter Creek Segment,7/20/06,1300,H,COM,14.9,10,14.5,0.42,,,,
9,Otter Creek Segment,8/2/06,1015,E,9,16.4,6,14.1,0.33,,3.14,4.5,
9,Otter Creek Segment,8/2/06,1025,H,COM,13.1,8,14.6,0.4,,,,
9,Otter Creek Segment,8/4/06,955,E,10,16.6,7.8,13.6,0.37,23.4,4.17,5,2.03E+06
9,Otter Creek Segment,8/4/06,1015,H,COM,15,10.9,14.6,0.47,,,,
9,Otter Creek Segment,8/15/06,1245,E,9.6,18.5,9.4,13.9,0.41,,3.08,4.8,
9,Otter Creek Segment,8/15/06,1250,H,COM,11.8,10.9,14.8,0.5,,,,
9,Otter Creek Segment,8/23/06,1230,E,9.2,12.6,11.4,13.9,0.43,21.9,3.11,4.6,2.61E+06
9,Otter Creek Segment,8/23/06,1300,H,COM,19.2,12.7,14.6,0.49,,,,
9,Otter Creek Segment,8/28/06,1140,E,10,15.2,11.1,14.1,0.39,,3.18,5,
9,Otter Creek Segment,8/28/06,1145,H,COM,12.8,12.3,14.8,0.49,,,,
9,Otter Creek Segment,9/6/06,1240,E,6.8,15.6,9.2,14.3,0.37,19.1,6.69,3.4,5.22E+06
9,Otter Creek Segment,9/6/06,1300,H,COM,15.1,12.6,14.8,0.47,,,,
9,Otter Creek Segment,9/7/06,1305,E,6,18.7,6.3,14.5,0.34,,8.33,3,
9,Otter Creek Segment,9/7/06,1310,H,COM,16.7,12.9,15,0.48,,,,
