StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
16,Shelburne Bay,4/28/06,1300,U,8.4,10.9,8.1,16.3,0.43,5.7,2.98,4.2,0
16,Shelburne Bay,5/11/06,1135,U,8.6,12.3,8.5,15.9,0.4,13.1,3.58,4.3,0
16,Shelburne Bay,6/5/06,1315,U,6,16.4,10.9,15.2,0.46,,4.89,3,
16,Shelburne Bay,6/5/06,1215,U,6,14,9.8,15.1,0.44,14,4.99,3,0
16,Shelburne Bay,6/16/06,1135,E,6.2,14,7.5,14.9,0.39,15.7,3.5,3.1,291000
16,Shelburne Bay,6/16/06,1155,H,COM,11.5,7.2,15.1,0.44,,,,
16,Shelburne Bay,6/26/06,1340,E,6.6,13.4,6,15,0.46,,8.19,3.3,
16,Shelburne Bay,6/26/06,1350,H,COM,11.3,6.1,14.8,0.46,,,,
16,Shelburne Bay,7/7/06,1145,E,8,17.9,10.9,15,0.39,20.5,5.29,4,0
16,Shelburne Bay,7/7/06,1200,H,COM,12.3,9.6,14.8,0.4,,,,
16,Shelburne Bay,7/12/06,1326,E,7.8,22.9,19.9,14.4,0.38,,4.5,3.9,
16,Shelburne Bay,7/12/06,1346,H,COM,11.4,7.6,14.4,0.47,,,,
16,Shelburne Bay,7/24/06,1202,U,12.2,14.8,7.8,14.4,0.38,,4.26,6.1,
16,Shelburne Bay,7/28/06,1115,E,7.4,17.9,7.6,13.6,0.37,23,7.24,3.7,685000
16,Shelburne Bay,7/28/06,1135,H,COM,15.5,10,14.2,0.47,,,,
16,Shelburne Bay,8/9/06,1320,E,12,17,6.8,14,0.4,,2.23,6,
16,Shelburne Bay,8/9/06,1240,E,10.6,13.4,7.5,14,0.33,23.1,2.6,5.3,1.83E+06
16,Shelburne Bay,8/9/06,1305,H,COM,10.5,7.6,14,0.4,,,,
16,Shelburne Bay,8/10/06,1325,H,COM,13.5,8.2,14.1,0.46,,,,
16,Shelburne Bay,8/24/06,1255,E,10,13.4,7,14,0.38,,2.39,5,
16,Shelburne Bay,8/24/06,1300,H,COM,11.3,9.7,14.1,0.46,,,,
16,Shelburne Bay,9/1/06,1225,U,6,12.2,8.1,14.1,0.38,20,7.03,3,3.40E+06
16,Shelburne Bay,9/6/06,1405,U,8.8,14,5.7,14.3,0.32,,6.46,4.4,
16,Shelburne Bay,9/15/06,1105,U,9.2,12.1,7.9,14.4,0.32,18.3,3.79,4.6,
16,Shelburne Bay,9/26/06,1120,U,8,14.8,5.5,14.3,0.33,,5.87,4,
16,Shelburne Bay,10/2/06,1250,U,9,12.3,8.1,14.5,0.34,16.1,5.83,4.5,770000
16,Shelburne Bay,5/7/07,1145,U,8.5,18.6,10.4,14.8,0.45,6.4,2.79,4.2,0
16,Shelburne Bay,5/23/07,1225,U,9,11.6,7.2,14.7,0.44,,6.39,4.2,0
16,Shelburne Bay,5/30/07,1240,U,6.4,14.6,8.4,13.7,0.45,,7.25,3.2,
16,Shelburne Bay,6/11/07,1220,E,7,8.8,<5,14.1,0.35,19.4,3.47,3.6,440000
16,Shelburne Bay,6/11/07,1235,H,COM,9.5,5.4,13.9,0.49,,,,
16,Shelburne Bay,6/13/07,1302,E,10,11.7,<5,14,0.39,,1.9,5,
16,Shelburne Bay,6/13/07,1302,H,COM,9.6,5.6,14,0.49,,,,
16,Shelburne Bay,6/26/07,1130,E,10,11.7,6.8,13.4,0.38,,1.45,5,
16,Shelburne Bay,6/26/07,1135,H,COM,11.9,7.3,13.6,0.47,,,,
16,Shelburne Bay,7/9/07,1020,E,8,10.2,6.6,13.6,0.4,18.7,4.51,3.9,0
16,Shelburne Bay,7/9/07,1055,H,COM,7.9,5.9,13.9,0.46,,,,
16,Shelburne Bay,7/12/07,1200,E,8.3,13.3,6.2,14.3,0.43,,3.33,4.2,
16,Shelburne Bay,7/12/07,1205,H,19,10.9,7.9,14.1,0.52,,,,
16,Shelburne Bay,7/24/07,1130,E,9,12.6,6.1,13.7,0.38,21.6,2.18,4.5,1.14E+06
16,Shelburne Bay,7/24/07,1145,H,COM,8,5.8,13,0.43,,,,
16,Shelburne Bay,7/26/07,1305,E,9.3,11.1,5.2,14,0.38,,2.9,4.7,
16,Shelburne Bay,7/26/07,1310,H,20,14.5,9.1,14,0.49,,,,
16,Shelburne Bay,8/7/07,1232,E,13.1,16.6,8.1,13.7,0.35,,1.08,6.6,
16,Shelburne Bay,8/7/07,1233,H,COM,10.3,8.9,13.4,0.47,,,,
16,Shelburne Bay,8/9/07,1245,E,10,16.9,8.5,13.5,0.36,,1.54,5,2.79E+06
