StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
19,Main Lake,4/28/06,950,U,10.8,14.2,11.4,15.4,0.45,3.5,1.54,5.4,0
19,Main Lake,5/11/06,1015,U,5.8,18.4,12.6,14.8,0.44,11.8,7.01,2.9,0
19,Main Lake,6/5/06,1055,U,10.4,16.3,13.8,14.8,0.46,,3.41,5.2,
19,Main Lake,6/5/06,1030,U,10.2,13.1,10.9,14.5,0.46,10,2.59,5.1,0
19,Main Lake,6/16/06,1015,E,7.8,12.4,7.9,14.5,0.4,14,3.29,3.9,0
19,Main Lake,6/16/06,1045,H,COM,14.1,10.7,15.3,0.46,,,,
19,Main Lake,6/26/06,1115,E,8.8,12,6.1,14.2,0.46,,4.32,4.4,
19,Main Lake,6/26/06,1125,H,COM,14.2,10.2,15.3,0.64,,,,
19,Main Lake,7/7/06,1025,E,10,18.9,9.7,14,0.35,20.3,3.97,5,723000
19,Main Lake,7/7/06,1115,H,COM,12.4,11.5,15.4,0.46,,,,
19,Main Lake,7/12/06,1120,H,COM,13.9,10.7,14.7,0.48,,,,
19,Main Lake,7/12/06,1100,E,6.8,17.5,6.7,13.8,0.34,,5.95,3.4,
19,Main Lake,7/28/06,1015,E,7,19,7.4,13.6,0.38,22.3,7.26,3.5,704000
19,Main Lake,7/28/06,1045,H,COM,13.9,10.4,14.3,0.47,,,,
19,Main Lake,8/3/06,1136,E,7.4,13,5.8,14.1,0.38,,5.99,3.7,
19,Main Lake,8/3/06,1146,H,COM,10.1,9.8,15.2,0.46,,,,
19,Main Lake,8/9/06,1415,E,10.2,12.1,<5,13.8,0.4,,<0.5,5.1,
19,Main Lake,8/9/06,1420,H,COM,12.4,9.9,14.7,0.51,,,,
19,Main Lake,8/9/06,1000,E,14,10.5,6.8,13.5,0.36,21.9,1.54,7,3.95E+06
19,Main Lake,8/9/06,1115,H,COM,11.1,9,14.5,0.47,,,,
19,Main Lake,8/24/06,1045,E,13.4,11.3,7.5,13.9,0.38,,3.52,6.7,
19,Main Lake,8/24/06,1050,H,COM,12,11.8,14.7,0.48,,,,
19,Main Lake,9/1/06,1010,E,8.6,14.7,9.1,14.2,0.43,18.6,5.39,4.3,1.51E+06
19,Main Lake,9/1/06,1050,H,COM,14.3,11.5,14.6,0.46,,,,
19,Main Lake,9/6/06,1220,E,9,10.8,6.4,14.2,0.38,,3.96,4.5,
19,Main Lake,9/6/06,1225,H,COM,13.8,10.8,14.9,0.48,,,,
19,Main Lake,9/15/06,1005,E,9.8,13.5,9.1,14.2,0.34,17.6,4.28,4.9,3.73E+06
19,Main Lake,9/15/06,1040,H,COM,14.8,12.5,14.8,0.42,,,,
19,Main Lake,9/26/06,1215,E,8,11.8,5.4,14.6,0.33,,5.58,4,
19,Main Lake,9/26/06,1215,H,COM,15.2,12.1,14.8,0.46,,,,
19,Main Lake,10/2/06,1040,E,8,12.5,7.2,14.6,0.37,15.8,4.98,4,4.69E+06
19,Main Lake,10/2/06,1120,H,COM,15.4,12.1,14.8,0.47,,,,
19,Main Lake,5/7/07,1010,U,8.5,18.5,12.8,14.1,0.44,3.2,1.59,4.2,0
19,Main Lake,5/23/07,1020,U,9,13.6,9.9,14,0.47,7.2,4.37,4.5,0
19,Main Lake,5/30/07,1115,U,6.1,14.8,12.3,13.8,0.47,,7.95,3.1,
19,Main Lake,6/11/07,1020,E,7,12.1,5.2,13.7,0.36,17.7,4.14,3.5,0
19,Main Lake,6/11/07,1045,H,COM,13.2,9.8,13.9,0.48,,,,
19,Main Lake,6/14/07,1120,E,10.3,12.4,8.6,13.5,0.41,,1.89,5.2,
19,Main Lake,6/14/07,1120,H,COM,13.3,9.3,13.9,0.59,,,,
19,Main Lake,6/26/07,1310,E,13,12.2,6.1,13.5,0.37,,2.41,6.5,
19,Main Lake,6/26/07,1315,H,COM,11.8,10,13.9,0.48,,,,
19,Main Lake,7/6/07,1035,E,1,10.7,5.9,13.8,0.41,18.7,,5.1,0
19,Main Lake,7/6/07,1120,H,COM,15.6,8.3,13.8,0.45,,,,
19,Main Lake,7/12/07,1100,E,10.1,14.7,6.2,13.9,0.36,,5.03,5.1,
19,Main Lake,7/12/07,1105,H,COM,14.1,10.3,14.2,0.49,,,,
19,Main Lake,7/24/07,1005,E,8.5,9.6,6.4,13.3,0.38,20.7,3.2,3.4,118000
19,Main Lake,7/24/07,1100,H,COM,10.5,8.6,13.4,0.48,,,,
19,Main Lake,7/26/07,1350,E,12.6,10.1,5.3,14,0.39,,2.85,6.3,
19,Main Lake,7/26/07,1355,H,COM,15,11.3,14,0.53,,,,
19,Main Lake,8/7/07,1135,E,12,12.3,7.3,13.1,0.37,,1.54,6,
19,Main Lake,8/7/07,1136,H,COM,11.9,10.5,14,0.47,,,,
19,Main Lake,8/9/07,1012,E,10,18.9,8,13.5,0.35,21.6,1.59,5,1.46E+06
19,Main Lake,8/9/07,1130,H,COM,11.6,9.7,13.6,0.45,,,,
19,Main Lake,9/10/07,1045,E,9,8.5,5.3,13.8,0.36,,2.67,4.5,
19,Main Lake,9/10/07,1045,H,COM,9.7,8.8,13.8,0.48,,,,
19,Main Lake,9/17/07,1015,E,12,9.9,6.3,13.9,0.35,17.7,3.78,5.9,3.10E+06
19,Main Lake,9/17/07,1120,H,COM,9.5,9.1,13.7,0.45,,,,
19,Main Lake,9/24/07,1430,E,10.6,12.4,<5,13.6,0.33,,5.16,5.3,
19,Main Lake,9/24/07,1435,H,COM,,10.8,13.7,0.48,,,,
19,Main Lake,5/14/08,1000,U,10,18.1,11.3,14.7,0.43,7.3,2.97,5,0
19,Main Lake,5/28/08,1020,U,10,14.4,7.9,14.6,0.45,7.8,2.52,5,0
19,Main Lake,6/12/08,930,U,11,13.6,8.1,14.6,0.43,,2.87,5.5,
19,Main Lake,6/16/08,1020,U,9,10.3,6.5,14.5,0.43,17.9,2.62,4.5,193000
19,Main Lake,6/27/08,855,E,11.3,18.5,6.5,14.8,0.38,18.3,2.41,5.7,
19,Main Lake,6/27/08,930,H,COM,13.2,9.7,14.8,0.5,,,,
19,Main Lake,6/30/08,1010,E,13,15.2,7.3,14.6,0.34,20.4,1.7,6.6,0
19,Main Lake,6/30/08,1100,H,COM,12.1,9.7,14.8,0.43,,,,
19,Main Lake,7/14/08,950,E,9.8,14.6,5.3,14.7,0.45,19.9,5.81,4.9,
19,Main Lake,7/14/08,1010,H,COM,14.7,9.2,14.7,0.51,,,,
19,Main Lake,7/30/08,1010,E,10,11.7,7.7,14.2,0.52,22.4,3.08,5.1,1.96E+06
