StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
21,Burlington Bay,4/28/06,1135,U,9,13.6,10.3,15.5,0.45,4.6,1.89,4.5,0
21,Burlington Bay,5/11/06,1235,E,6,14.6,8.7,16,0.4,11.7,4.57,3,0
21,Burlington Bay,5/11/06,1245,H,COM,13.7,10.5,14.5,0.44,,,,
21,Burlington Bay,6/5/06,1236,U,7.4,15.1,13.2,15.2,0.45,,2.96,3.7,
21,Burlington Bay,6/5/06,1315,U,6,13.6,10,15,0.68,14.2,3.62,3,0
21,Burlington Bay,6/16/06,1235,U,7.8,11.3,7.4,14.8,0.43,15.1,2.8,3.9,0
21,Burlington Bay,6/26/06,1255,E,8,12.8,5.8,14.7,0.43,,4.79,4,
21,Burlington Bay,6/26/06,1300,H,15,9.4,6.1,14.5,0.5,,,,
21,Burlington Bay,7/7/06,1245,E,8.2,21.6,10.7,14.7,0.36,20.4,8.67,4.1,303000
21,Burlington Bay,7/7/06,1300,H,COM,21.1,16.6,16,0.46,,,,
21,Burlington Bay,7/12/06,1233,E,8,20.1,6.3,13.9,0.3,,5.59,4,
21,Burlington Bay,7/12/06,1253,H,COM,15,7.8,14.2,0.46,,,,
21,Burlington Bay,7/24/06,1106,U,10,15.9,6.7,13.9,0.37,,5.12,5,
21,Burlington Bay,7/28/06,1200,U,7,17,7.8,13.6,0.42,23.1,9.29,3.5,344000
21,Burlington Bay,8/9/06,1235,U,13,17.9,6.3,14,0.38,,1.88,6.5,
21,Burlington Bay,8/9/06,1335,U,13.2,11,6.9,13.8,0.34,22.9,1.7,6.6,1.63E+06
21,Burlington Bay,8/24/06,1205,E,13,9.9,6.9,13.9,0.38,,1.9,6.5,
21,Burlington Bay,8/24/06,1210,H,COM,10.7,8.6,14,0.39,,,,
21,Burlington Bay,9/1/06,1300,U,9,14.6,7.8,14.2,0.4,19.1,3.03,4.5,1.35E+06
21,Burlington Bay,9/6/06,1330,U,9.2,12.3,11.2,14.2,0.35,,5.04,4.6,
21,Burlington Bay,9/15/06,1155,U,9,14.3,8,14.2,0.34,18.2,5.02,4.5,1.10E+07
21,Burlington Bay,9/26/06,1045,U,8,13.3,<5,14.2,0.33,,4.17,4,
21,Burlington Bay,10/2/06,1330,U,10,13.2,7.3,14.4,0.37,16,6.08,5,1.55E+06
21,Burlington Bay,5/7/07,1235,U,21,18,11.7,13.6,0.45,4.9,1.69,4.5,0
21,Burlington Bay,5/23/07,1300,U,10,12.3,9.3,14.2,0.45,,2.52,5.6,0
21,Burlington Bay,5/30/07,1320,U,6,16.2,6.2,13.6,0.42,,7.17,3,
21,Burlington Bay,6/11/07,1300,E,7,10.2,5.1,13.6,0.38,18.2,2.83,3.6,0
21,Burlington Bay,6/11/07,1320,H,COM,9.6,<5,14.1,0.48,,,,
21,Burlington Bay,6/13/07,1215,E,7.8,10.4,<5,13.7,0.39,,2.27,3.9,
21,Burlington Bay,6/13/07,1215,H,COM,14.3,5.4,13.8,0.48,,,,
21,Burlington Bay,6/26/07,1220,E,9.3,14.1,7.1,13.7,0.4,,3.06,4.7,
21,Burlington Bay,6/26/07,1225,H,COM,10.1,7.3,13.5,0.41,,,,
21,Burlington Bay,7/9/07,1110,U,9,32.8,6.8,13.4,0.37,18.6,7,4.5,
21,Burlington Bay,7/12/07,1245,E,10,12,5.7,13.7,0.37,,5.51,5,
