StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
25,Malletts Bay,4/19/06,1015,U,7,12.1,6.6,9.3,0.59,5.5,2.07,3.5,0
25,Malletts Bay,5/5/06,1030,U,12.2,11.1,6.5,9.4,0.4,9.2,1.31,6.1,0
25,Malletts Bay,5/30/06,1045,U,4.8,16.2,7.6,8.5,0.42,18,2.83,2.4,1.57E+06
25,Malletts Bay,6/5/06,1421,U,6.6,14.1,9.8,8.6,0.41,,2.14,3.3,
25,Malletts Bay,6/9/06,1030,E,7.4,14.8,8.6,8.6,0.37,16.2,3.94,3.7,217000
25,Malletts Bay,6/9/06,1105,H,COM,11.7,7.2,8.9,0.41,,,,
25,Malletts Bay,6/26/06,1449,E,12.4,12.5,7.1,8.7,0.38,,2.04,6.2,
25,Malletts Bay,6/26/06,1450,H,COM,14.3,6.1,9.5,0.5,,,,
25,Malletts Bay,6/29/06,1025,E,8,14.3,8.4,8.5,0.39,21,2.18,4,2.00E+06
25,Malletts Bay,6/29/06,1115,H,COM,11.2,7.7,9.2,0.44,,,,
25,Malletts Bay,7/12/06,1430,E,8.6,14.8,6.8,8,0.35,,2.54,4.3,
25,Malletts Bay,7/12/06,1450,H,COM,11.9,7.4,8.7,0.44,,,,
25,Malletts Bay,7/21/06,1055,E,9.6,13.1,5.3,8.2,0.35,25.5,3.42,4.8,2.99E+06
25,Malletts Bay,7/21/06,1200,H,COM,14.6,9.3,8.9,0.45,,,,
25,Malletts Bay,7/24/06,1340,E,9.6,9.4,5.2,8.5,0.34,,2.91,4.8,
25,Malletts Bay,7/24/06,1350,H,COM,12.9,8.8,9.2,0.47,,,,
25,Malletts Bay,8/2/06,1105,E,11,10.3,5.5,8.5,0.35,24.8,3.84,5.5,1.95E+06
25,Malletts Bay,8/2/06,1140,H,COM,13.1,9,8.9,0.46,,,,
25,Malletts Bay,8/9/06,1100,E,10.4,13,<5,8.9,0.36,,3.06,5.2,
25,Malletts Bay,8/10/06,1105,H,COM,12,8.3,8.9,0.5,,,,
25,Malletts Bay,8/15/06,1015,E,10.4,9.7,6.3,8.7,0.31,22.5,4.24,5.2,2.85E+06
25,Malletts Bay,8/15/06,1100,H,COM,10.7,7.1,8.8,0.46,,,,
25,Malletts Bay,8/24/06,1405,E,12,8.6,5.3,8.8,0.32,,4.54,6,
25,Malletts Bay,8/24/06,1410,H,COM,8.1,6.7,8.9,0.5,,,,
25,Malletts Bay,8/30/06,1025,E,9,8.3,6.1,8.8,0.28,20.4,3.98,4.5,4.51E+06
25,Malletts Bay,8/30/06,1100,H,COM,8.1,6.4,8.9,0.41,,,,
25,Malletts Bay,9/6/06,1105,E,8,11.4,<5,9.2,0.27,,4.95,4,
25,Malletts Bay,9/6/06,1110,H,COM,12,6.2,9.2,0.44,,,,
25,Malletts Bay,9/12/06,1050,E,13.2,11.8,5.1,9.2,0.29,19.5,3.39,6.6,3.34E+06
25,Malletts Bay,9/12/06,1135,H,COM,12.5,7,8.9,0.46,,,,
25,Malletts Bay,9/26/06,930,E,6,12.6,5.2,9.4,0.3,,3.29,3,
25,Malletts Bay,9/26/06,930,H,COM,8.5,5.3,9,0.42,,,,
