StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,Chla,Secchi,NP_Cya_bio
33,Cumberland Bay,4/14/06,1030,U,10,15.2,10.4,13.7,0.48,4.5,2.05,5.1,0
33,Cumberland Bay,5/8/06,1025,U,5.4,15.7,8.6,14,0.45,10.7,8.3,2.7,0
33,Cumberland Bay,5/31/06,1038,U,7,13.7,11,13.8,0.41,,4.78,3.5,
33,Cumberland Bay,5/31/06,1045,U,6.6,13.7,6.8,13.6,0.4,15.1,5.87,3.3,0
33,Cumberland Bay,6/13/06,1025,E,10,11.4,7.6,14.3,0.4,12.5,1.76,6.7,0
33,Cumberland Bay,6/13/06,1040,H,COM,9.1,6.8,14.9,0.43,,,,
33,Cumberland Bay,6/30/06,1452,U,6.4,20.4,11,,0.16,,8.57,3.2,
33,Cumberland Bay,7/10/06,1055,U,7.2,15,9.1,13.5,0.39,21.7,5.04,3.6,3.85E+06
33,Cumberland Bay,7/11/06,1500,U,6.4,19.8,7.2,13.4,0.35,,4.77,3.2,
33,Cumberland Bay,8/2/06,1010,U,7.4,15.7,9,12.9,0.39,23.9,5.05,3.7,1.45E+06
33,Cumberland Bay,8/3/06,1459,U,7.2,10.8,7.8,14.8,0.42,,5.02,3.6,
33,Cumberland Bay,8/10/06,1205,U,7.6,15.1,6.3,13.6,0.4,,3.46,3.8,
33,Cumberland Bay,8/10/06,1045,U,8,12.5,8.2,13.5,0.36,22.7,3.79,4,4.65E+06
33,Cumberland Bay,8/23/06,1420,U,9,12.7,11.9,13.7,0.38,,3.32,4.5,
33,Cumberland Bay,8/28/06,1040,U,9.6,14.7,8.8,13.5,0.37,20.1,2.55,4.8,1.98E+06
33,Cumberland Bay,9/5/06,1420,U,7,14.1,5.1,14.1,0.33,,5.08,3.5,
33,Cumberland Bay,9/11/06,1035,U,10,12,7.3,14,0.34,18.5,3.14,7.4,2.70E+06
33,Cumberland Bay,9/20/06,1200,U,8.6,14.6,5.2,14,0.31,,3.13,4.3,
33,Cumberland Bay,9/25/06,1100,U,10,11.2,8.8,13.9,0.35,17.2,1.96,6.7,1.94E+06
33,Cumberland Bay,5/9/07,1035,U,10,14.8,9.6,13,0.47,8,1.17,6,0
33,Cumberland Bay,5/18/07,1015,U,10,10.9,6.9,13.4,0.41,7.5,2.76,5.8,0
33,Cumberland Bay,5/31/07,1005,U,8,10.2,5.9,13.3,0.44,13,5.03,3.8,0
33,Cumberland Bay,6/6/07,1420,E,7.8,12.8,5.3,13.3,0.42,,4.2,3.9,
33,Cumberland Bay,6/6/07,1420,H,10,11.1,5.5,13.4,0.45,,,,
33,Cumberland Bay,6/18/07,1320,U,10,9.4,<5,13.1,0.35,20.3,2.1,5.5,0
33,Cumberland Bay,6/25/07,1040,E,10.5,16.9,9.8,13.4,0.39,,1.46,6.2,
33,Cumberland Bay,6/25/07,1045,H,COM,8.7,8.7,13.4,0.46,,,,
33,Cumberland Bay,7/10/07,1455,U,11,12,5.5,13.6,0.37,,2.63,5.5,
33,Cumberland Bay,7/10/07,1055,U,10,9.5,6.1,13.1,0.39,18.7,2.84,5,0
33,Cumberland Bay,7/30/07,1125,E,11,11.1,6.2,13.6,0.37,,1.87,5.5,
33,Cumberland Bay,7/30/07,1130,H,11,13.2,9.9,13.7,0.46,,,,
33,Cumberland Bay,7/31/07,1010,E,8,13.7,6.5,13.7,0.37,23.8,3.02,4,1.98E+06
33,Cumberland Bay,8/9/07,1350,E,1,15.3,9.4,13.4,0.38,,4.69,0.5,
33,Cumberland Bay,8/9/07,1351,H,10,13.8,10,13.4,0.39,,,,
33,Cumberland Bay,8/27/07,1050,U,10,11.1,7.5,14.1,0.36,20,1.96,7,1.26E+06
33,Cumberland Bay,9/13/07,1450,U,10.5,8.9,5.6,13.7,0.35,,2.18,7,
33,Cumberland Bay,10/4/07,1000,U,10,12,8.7,13.9,0.35,17.5,1.26,6,309000
33,Cumberland Bay,10/17/07,1105,U,10,12.2,7.9,13.9,0.35,14.4,2.08,5,509000
33,Cumberland Bay,5/12/08,1030,U,6.5,15.9,9.5,13.1,0.43,11.3,5.82,3.3,0
