StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,DO,Chla,Secchi,NP_Cya_bio
51,Missisquoi Bay Central,4/20/06,1225,U,3.2,34.7,14.3,6.5,0.77,10.6,,13.4,1.6,0
51,Missisquoi Bay Central,5/9/06,1055,U,3.4,31.9,12.6,7.1,0.6,15.1,,11.7,1.7,0
51,Missisquoi Bay Central,5/23/06,1115,U,2,92.3,40.9,6.9,1.72,11.7,,5.47,0.3,0
51,Missisquoi Bay Central,6/7/06,1040,U,4,32.7,23.4,5.9,1.1,18.7,,4.55,2.4,0
51,Missisquoi Bay Central,6/9/06,915,U,4,30.9,16.4,6.1,1.13,,,4.94,2,
51,Missisquoi Bay Central,6/23/06,935,U,3.4,29.9,13.8,5.3,1.02,,,11.4,1.7,
51,Missisquoi Bay Central,6/23/06,1130,U,3.6,28.5,15.1,5.3,1.02,20.7,,11.2,1.8,0
51,Missisquoi Bay Central,7/14/06,1045,U,3,36.8,10.4,5.5,0.82,,,7.39,1.5,
51,Missisquoi Bay Central,7/25/06,1115,U,2.8,52.8,28.5,5.6,0.8,24.3,,9.22,1.4,1.55E+08
51,Missisquoi Bay Central,7/28/06,,U,3,56.9,22.1,5.8,0.7,,,9.69,1.5,
51,Missisquoi Bay Central,8/8/06,1115,U,3.6,63.8,41.8,6,0.88,24.2,,8.36,1.8,1.23E+08
51,Missisquoi Bay Central,8/11/06,845,U,2.4,70.4,31,5.9,0.93,,,11.1,1.2,
51,Missisquoi Bay Central,8/24/06,1100,U,3.2,49.9,28.1,5.7,0.67,21.7,,18.9,1.6,3.52E+08
51,Missisquoi Bay Central,8/25/06,915,U,4,46.7,22.2,5.7,0.78,,,11.4,2,
51,Missisquoi Bay Central,9/7/06,1055,U,2.4,62.9,18,6.3,0.77,19.3,,3.73,1.2,4.38E+08
51,Missisquoi Bay Central,9/8/06,1100,U,2.4,63.1,12.4,6.6,0.82,,,57.6,1.2,
51,Missisquoi Bay Central,9/22/06,,U,2,63.4,11.7,6.7,0.72,,,34.4,1,
51,Missisquoi Bay Central,9/22/06,1040,U,2,73.7,19.5,6.6,0.8,17.3,,42.4,0.8,1.54E+09
51,Missisquoi Bay Central,10/6/06,1040,U,3,111,20.9,6.8,1.19,,,112,1.5,
51,Missisquoi Bay Central,10/6/06,1145,U,2,58.3,29.3,7.2,0.54,13.5,,21.2,0.8,
51,Missisquoi Bay Central,10/19/06,1055,U,3,58.8,29.1,6.6,0.57,10.4,,19.6,1.5,1.90E+08
51,Missisquoi Bay Central,4/26/07,1115,U,2,42.3,16.1,5.2,0.74,9.1,,11.7,0.7,110000
51,Missisquoi Bay Central,5/11/07,1110,U,4,34.1,14.4,5.3,0.74,15.5,,11,1.8,122000
51,Missisquoi Bay Central,5/18/07,1000,U,3.4,32.2,13.3,5.7,0.72,,,5.98,1.7,
51,Missisquoi Bay Central,5/29/07,1055,U,3,38.8,15.4,5.8,0.74,17.8,,11.8,1.4,153000
