StationID,Station,Date,Time,Stratum,Depth,TP,DP,Cl,TN,TempC,DO,Chla,Secchi,NP_Cya_bio
40,St. Albans Bay,04/27/2006,1300,U,4.4,25.2,11.4,11.9,0.34,8.6,,8.66,2.2,0
40,St. Albans Bay,05/10/2006,1255,U,6,20.9,9.4,10.8,0.3,14.7,,4.04,3.6,775000
40,St. Albans Bay,06/02/2006,1355,U,5.8,28.7,19.2,11.2,0.49,19.9,,1.06,2.9,1370000
40,St. Albans Bay,06/06/2006,1210,U,6,21.9,15.3,10.3,0.38,,,1.36,6.1,
40,St. Albans Bay,06/15/2006,1125,U,6,21.4,15.5,10.1,0.39,17.7,,2.43,4.2,1600000
40,St. Albans Bay,06/30/2006,1127,U,6,31,,10.5,0.48,,,4.82,3.4,
40,St. Albans Bay,07/11/2006,1209,U,6,35,15,10.4,0.45,,,2.61,3,
40,St. Albans Bay,07/11/2006,1250,U,6,30.3,15.1,10.6,0.39,24.5,,3.53,3.4,16200000
40,St. Albans Bay,07/26/2006,1223,U,5,32.3,8.9,10.1,0.34,,,9.68,2.5,
40,St. Albans Bay,08/01/2006,1240,U,4.6,27.7,9.1,9.9,0.41,,,13.4,2.3,69200000
40,St. Albans Bay,08/08/2006,1145,U,5.4,36.5,10,9.9,0.49,,,13.2,2.7,
40,St. Albans Bay,08/14/2006,1315,U,4,32.7,12.2,10.1,0.42,,,14.7,2,25300000
40,St. Albans Bay,08/23/2006,1240,U,5.2,27.4,9.5,9.9,0.37,,,7.7,2.6,
40,St. Albans Bay,08/25/2006,1215,U,4.2,30.8,11.2,9.9,0.43,21.7,,12.2,2.1,128000000
40,St. Albans Bay,09/05/2006,1200,U,3.6,29.3,7.2,10.4,0.43,,,12.3,1.8,
40,St. Albans Bay,09/05/2006,1230,U,3.6,30.7,10.3,10.1,0.38,19.4,,18.5,1.8,150000000
40,St. Albans Bay,09/20/2006,1245,U,5,26.5,10.1,10,0.35,19.5,,12.8,2.5,93900000
40,St. Albans Bay,09/21/2006,1220,U,3,39.2,8.3,10.5,0.48,,,17.8,1.5,
40,St. Albans Bay,10/05/2006,1150,U,3.4,36.7,14.8,10.9,0.53,14.4,,17.6,1.7,319000000
40,St. Albans Bay,10/17/2006,1100,U,6,20.9,11.2,10.1,0.31,12.7,,10.9,3.5,17900000
40,St. Albans Bay,05/02/2007,1200,U,4,22.7,12.7,10.5,0.38,7.5,,6.65,2,302000
40,St. Albans Bay,05/22/2007,1130,U,5,23.3,7.4,10.2,0.35,11,,3.85,3.7,0
40,St. Albans Bay,06/05/2007,1150,U,4,23.8,8.8,9.8,0.34,17.1,,4.23,1.8,0
40,St. Albans Bay,06/06/2007,1310,U,3.4,33.5,10,10.7,0.4,,,4.85,1.7,
40,St. Albans Bay,06/19/2007,1210,U,6,19.8,8.9,9.3,0.33,21.9,,1.07,4,3070000
40,St. Albans Bay,06/25/2007,1355,U,6.5,20.9,10.2,9.6,0.34,,,7.94,3.3,
40,St. Albans Bay,07/10/2007,1330,U,6.5,23.6,9.2,9.3,0.32,,,6.82,3.7,
40,St. Albans Bay,07/16/2007,1345,U,4,42.5,13.4,10.4,0.49,,,30.7,,21400000
40,St. Albans Bay,07/30/2007,1255,E,4.8,27.7,9.2,10.5,0.4,,,9.33,2.4,
40,St. Albans Bay,07/30/2007,1300,H,5,25.4,13.5,9.5,0.35,,,,,
40,St. Albans Bay,07/30/2007,1210,U,4,27,11.9,9.8,0.37,,,11.4,2,119000000
40,St. Albans Bay,08/09/2007,1245,E,3.5,32.3,7.9,9.8,0.37,,,2.2,1.8,
